,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept
2249,Arizona State University (ASU),Psychology,1.05,2018-2019,3rd,,3,2018,23400,24000,0,0,24000,HistPolSoc,HistPolSoc,low,600,600,Arizona State University ASU_HistPolSoc
2254,University of Southern California (USC),Communication,1.31,2019-2020,2nd,,2,2019,34000,34000,0,0,34000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Southern California USC_LinguisticsAndCommunication
2261,Duke University (DU),Biology,1.21,2017-2018,2nd,,2,2017,27000,0,21500,5500,27000,Biology,Biology,high,0,0,Duke University DU_Biology
2262,North Carolina State University (NCSU),Mechanical and Aerospace Engineering,1.28,2018-2019,1st,1st year recruitment fellowship,1,2018,29250,30000,0,0,30000,Engineering,Engineering,low,750,750,North Carolina State University NCSU_Engineering
2263,Drexel University (DU),chemistry,0.97,2018-2019,3rd,,3,2018,23500,23500,0,0,23500,Chemistry,Chemistry,low,0,0,Drexel University DU_Chemistry
2269,Cornell University (CU),Biomedical Engineering,1.65,2018-2019,1st,"Base is $35,000. But I got an internal fellowship that granted me $40,000. ",1,2018,40000,40000,0,0,40000,Engineering,Engineering,low,0,0,Cornell University CU_Engineering
2270,University of Pittsburgh,Political Science,0.99,2019-2020,2nd,,2,2019,20440,20500,0,0,20500,HistPolSoc,HistPolSoc,low,60,60,University of Pittsburgh_HistPolSoc
2290,North Carolina State University (NCSU),Electrical and Computer Engineering,0.8,2018-2019,1st,,1,2018,18200,18200,0,0,18200,Engineering,Engineering,low,0,0,North Carolina State University NCSU_Engineering
2305,Princeton University,Art History,1.36,2019-2020,1st,Additional summer funding after 1st and 2nd years $2500; fund for books and course research,1,2019,34500,34500,0,0,34500,ArtsAndTheology,ArtsAndTheology,low,0,0,Princeton University_ArtsAndTheology
2316,University of Maryland - College Park (UMD),Chemical and Biomolecular Engineering,1.09,2019-2020,2nd,An increase in pay occurs upon passing the qualifying exam (RAE) and entering the second year. Cost of living adjustments ~3% were also administered through the first year.,2,2019,32848,33750,0,0,33750,Engineering,Engineering,low,902,902,University of Maryland - College Park UMD_Engineering
2317,University of Colorado - Boulder (UCB),Aerospace Engineering,0.82,2019-2020,1st,,1,2019,21000,0,23000,0,23000,Engineering,Engineering,high,2000,2000,University of Colorado - Boulder UCB_Engineering
2326,Clemson University (CU),Bioengineering,0.79,2018-2019,1st,,1,2018,16400,20000,0,0,20000,Engineering,Engineering,low,3600,3600,Clemson University CU_Engineering
2327,Clemson University (CU),Bioengineering,0.9,2018-2019,1st,,1,2018,18777,20000,0,0,20000,Engineering,Engineering,low,1223,1223,Clemson University CU_Engineering
2343,University of Wisconsin - Madison (UW),Statistics,0.81,2018-2019,1st,,1,2018,18600,0,20000,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,1400,1400,University of Wisconsin - Madison UW_MathematicsAndComputer Science
2344,University of Wisconsin - Madison (UW),Statistics,0.81,2018-2019,1st,,1,2018,18600,20000,0,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,1400,1400,University of Wisconsin - Madison UW_MathematicsAndComputer Science
2346,Purdue University - West Lafayette,Biomedical Engineering,1.15,2018-2019,2nd,,2,2018,24350,26500,0,0,26500,Engineering,Engineering,low,2150,2150,Purdue University - West Lafayette_Engineering
2348,Indiana University,Psychology,1.06,2018-2019,4th,,4,2018,22800,23000,0,0,23000,HistPolSoc,HistPolSoc,low,200,200,Indiana University_HistPolSoc
2358,Duke University (DU),Bioengineering,1.34,2018-2019,3rd,,3,2018,29700,30000,0,0,30000,Engineering,Engineering,low,300,300,Duke University DU_Engineering
2363,University of California - Los Angeles (UCLA),biology,1.62,2018-2019,1st,,1,2018,42000,42000,0,0,42000,Biology,Biology,low,0,0,University of California - Los Angeles UCLA_Biology
2379,University of California - Los Angeles (UCLA),Electrical Engineering,1.08,2019-2020,1st,,1,2019,28000,33000,0,0,33000,Engineering,Engineering,low,5000,5000,University of California - Los Angeles UCLA_Engineering
2382,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,1.69,2019-2020,1st,5000 bonus first year,1,2019,37500,37500,0,0,37500,Engineering,Engineering,low,0,0,University of North Carolina - Chapel Hill UNC_Engineering
2386,Duke University (DU),Public Policy,1.12,2019-2020,1st,,1,2019,25000,0,25000,0,25000,HistPolSoc,HistPolSoc,high,0,0,Duke University DU_HistPolSoc
2413,Massachusetts Institute of Technology (MIT),Physics,1.44,2019-2020,4th,"All students in the department receive the same salary ($3361/month) and the Student Extended Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. ",4,2019,40331,40331,0,0,40331,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy
2422,University of Illinois - Urbana- Champaign (UIUC),English,1.08,2018-2019,1st,"Because I'm on fellowship, I'm not teaching, and I have summer funding; this is unusual in my department. My colleagues teach 2 classes per semester and only have 9 months of funding for a similar monthly paycheck.",1,2018,23800,25000,0,0,25000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,1200,1200,University of Illinois - Urbana- Champaign UIUC_LinguisticsAndCommunication
2427,Northwestern University (NU),Psychology,0.11,2019-2020,1st,,1,2019,2737,2737,0,0,2737,HistPolSoc,HistPolSoc,low,0,0,Northwestern University NU_HistPolSoc
2431,University of Southern California (USC),Mathematics,1.28,2019-2020,3rd,"30,000 salary + 3,000 summer fellowship. If you teach in summer,  you get 6,000-9,000 for 6 weeks of summer. 
Health+Dental insurance + Gym membership. Some students save up to $20,000/per year. ",3,2019,33000,33000,0,0,33000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Southern California USC_MathematicsAndComputer Science
2432,University of Southern California (USC),Mathematics,1.27,2019-2020,3rd,"30,000 salary + 3,000 summer fellowship. If you teach in summer,  you get 6,000-9,000 for 6 weeks of summer. 
Health+Dental insurance + Gym membership. Some students save up to $20,000/per year. ",3,2019,32952,33000,0,0,33000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,48,48,University of Southern California USC_MathematicsAndComputer Science
2433,University of Virginia (UVA),History,0.88,2018-2019,4th,,4,2018,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0,University of Virginia UVA_HistPolSoc
2435,Clemson University (CU),Civil Engineering,0.05,2019-2020,1st,,1,2019,1064,0,10350,0,10350,Engineering,Engineering,high,9286,9286,Clemson University CU_Engineering
2467,University of Illinois - Urbana- Champaign (UIUC),Psychology ,1.27,2018-2019,5th,,5,2018,28000,52000,0,0,52000,HistPolSoc,HistPolSoc,low,24000,24000,University of Illinois - Urbana- Champaign UIUC_HistPolSoc
2471,Emory University,English,1.85,2019-2020,2nd,,2,2019,43000,43000,0,0,43000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,Emory University_LinguisticsAndCommunication
2491,Georgia Institute of Technology (Georgia Tech),Mechanical Engineering,1.02,2018-2019,3rd,,3,2018,23700,26400,0,0,26400,Engineering,Engineering,low,2700,2700,Georgia Institute of Technology Georgia Tech_Engineering
2496,University of Wisconsin - Madison (UW),Sociology,0.82,2018-2019,2nd,,2,2018,18800,20000,0,0,20000,HistPolSoc,HistPolSoc,low,1200,1200,University of Wisconsin - Madison UW_HistPolSoc
2500,University of Chicago (UC),Psychology,1.22,2019-2020,1st,"+$27,000 for ""Stipend""
+$4,000 for ""Summer Grant""
-$1,338 for ""Student Services Fee""",1,2019,29662,31000,0,0,31000,HistPolSoc,HistPolSoc,low,1338,1338,University of Chicago UC_HistPolSoc
2510,Temple University (TU),Psychology,1.08,2019-2020,1st,$200 Student Activities Fee,1,2019,26100,0,19739,6561,26300,HistPolSoc,HistPolSoc,high,200,200,Temple University TU_HistPolSoc
2515,Virginia Tech,Electrical and Computer Engineering,1.12,2018-2019,2nd,,2,2018,23540,26040,0,0,26040,Engineering,Engineering,low,2500,2500,Virginia Tech_Engineering
2526,University of Virginia (UVA),Biomedical Engineering,1.4,2019-2020,1st,,1,2019,32000,32000,0,0,32000,Engineering,Engineering,low,0,0,University of Virginia UVA_Engineering
2527,Columbia University (CU),Sociology,1.11,2018-2019,1st,,1,2018,32972,0,29350,3772,33122,HistPolSoc,HistPolSoc,high,150,150,Columbia University CU_HistPolSoc
2541,Duke University (DU),Biomedical Engineering ,1.43,2019-2020,1st,,1,2019,31800,31800,0,0,31800,Engineering,Engineering,low,0,0,Duke University DU_Engineering
2554,University of Texas - Dallas (UTD),Electrical Engineering,1.08,2018-2019,2nd,$1950 per month after passing Qualifying Exam and $1850 before QE.,2,2018,23400,23400,0,0,23400,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering
2576,New York University (NYU),Social Work,1.01,2018-2019,4th,,4,2018,30000,0,30000,0,30000,HistPolSoc,HistPolSoc,high,0,0,New York University NYU_HistPolSoc
2587,University of North Carolina - Chapel Hill (UNC),Public Policy,1.53,2018-2019,2nd,"NSF GRFP fellowship. I have been told that the graduate school policy is to not allow compensation above the NSF GRFP stipend, though research travel funds or research supply funds could be sought in addition to the maximum stipend. ",2,2018,34000,34000,0,0,34000,HistPolSoc,HistPolSoc,low,0,0,University of North Carolina - Chapel Hill UNC_HistPolSoc
2597,Georgia Institute of Technology (Georgia Tech),Biomedical Engineering ,1.76,2018-2019,1st,"NSF GRFP + $5,000 Centennial Scholar + $2,000 topper funds ",1,2018,41000,41000,0,0,41000,Engineering,Engineering,low,0,0,Georgia Institute of Technology Georgia Tech_Engineering
2610,University of South Carolina (USC),Chemistry,0.09,2018-2019,1st,,1,2018,2000,2400,0,0,2400,Chemistry,Chemistry,low,400,400,University of South Carolina USC_Chemistry
2612,Yale University (YU),sociology,1.29,2018-2019,3rd,,3,2018,32000,32000,0,0,32000,HistPolSoc,HistPolSoc,low,0,0,Yale University YU_HistPolSoc
2617,University of California - Berkeley,Sociology,1.28,2018-2019,1st,"Received University fellowship, which is $13,000 each semester and then $4,500 for the summer. Also received $5,000 summer GSR. Funding drops to between $30,500 and $33,500 (some years with travel funding, others without) for the next 3 years. ",1,2018,35500,35500,0,0,35500,HistPolSoc,HistPolSoc,low,0,0,University of California - Berkeley_HistPolSoc
2636,Pennsylvania State University (Penn State),Political Science,1.31,2018-2019,1st,,1,2018,29400,0,26150,3250,29400,HistPolSoc,HistPolSoc,high,0,0,Pennsylvania State University Penn State_HistPolSoc
2642,Drexel University (DU),Physics,0.97,2018-2019,3rd,"Drexel guarantees the physics graduate students 6 years of funding as a teaching assistant, including tuition, health insurance, and the $23,500 stipend. Cost of living in the city is expensive, so this is just barely enough to live on, especially if you live alone.",3,2018,23500,23500,0,0,23500,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Drexel University DU_PhysicsAndAstronomy
2645,University of Pittsburgh,History,0.89,2017-2018,6th and up,,6,2017,18500,18500,0,0,18500,HistPolSoc,HistPolSoc,low,0,0,University of Pittsburgh_HistPolSoc
2655,University of California - Los Angeles (UCLA),Sociology,1.08,2019-2020,1st,"24k for academic year, 4k-6k for summer funding depending on award. Fellowship years 1 and 5, TA/RA other years. ",1,2019,28000,28000,0,0,28000,HistPolSoc,HistPolSoc,low,0,0,University of California - Los Angeles UCLA_HistPolSoc
2659,Vanderbilt University,Political Science,1.31,2018-2019,1st,"9-month stipend $27,000, additional RA for three summer-months, approximately $1,000/month. Ignore my last post ",1,2018,30000,0,27000,3000,30000,HistPolSoc,HistPolSoc,high,0,0,Vanderbilt University_HistPolSoc
2671,Northwestern University (NU),Chemistry,1.48,2018-2019,4th,NSF GRFP Fellowship base + additional bump from department. No required fees only because fees are paid by NSF.,4,2018,36000,36000,0,0,36000,Chemistry,Chemistry,low,0,0,Northwestern University NU_Chemistry
2690,University of Minnesota - Twin Cities (UM),Psychology ,1.05,2019-2020,1st,,1,2019,24000,0,20000,4000,24000,HistPolSoc,HistPolSoc,high,0,0,University of Minnesota - Twin Cities UM_HistPolSoc
2693,University of Illinois - Urbana- Champaign (UIUC),Sociology,0.74,2019-2020,1st,,1,2019,16280,0,17480,0,17480,HistPolSoc,HistPolSoc,high,1200,1200,University of Illinois - Urbana- Champaign UIUC_HistPolSoc
2699,University of California - Berkeley,Chemistry,1.22,2019-2020,1st,,1,2019,34000,34000,0,0,34000,Chemistry,Chemistry,low,0,0,University of California - Berkeley_Chemistry
2700,University of Southern California (USC),Biostatistics,1.35,2018-2019,1st,including all health insurance ,1,2018,35000,35000,0,0,35000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Southern California USC_MathematicsAndComputer Science
2702,University of Southern California (USC),Biostatistics,1.31,2018-2019,4th,"including health insurance, dental, vision. Fellowship for the first year. ",4,2018,34000,34000,0,0,34000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Southern California USC_MathematicsAndComputer Science
2708,University of Illinois - Urbana- Champaign (UIUC),Linguistics,1.14,2019-2020,1st,"Illinois Distinguished Fellowship. 25k for each of 3 years, guaranteed TA/RA for other 2-3 years. Tuition waiver, partial health insurance",1,2019,25000,0,25000,0,25000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Illinois - Urbana- Champaign UIUC_LinguisticsAndCommunication
2709,University of Texas - Austin (UT),Government,1.31,2019-2020,1st,"$27,000 is composed of a fellowship + TAing. $3000 summer funding is from a RAship.",1,2019,30000,0,27000,3000,30000,HistPolSoc,HistPolSoc,high,0,0,University of Texas - Austin UT_HistPolSoc
2714,Purdue University - West Lafayette,Chemical Engineering,1.35,2018-2019,1st,$500 one-time moving stipend,1,2018,28500,31000,0,0,31000,Engineering,Engineering,low,2500,2500,Purdue University - West Lafayette_Engineering
2715,University of Michigan - Ann Arbor (UM),Chemical Engineering,1.4,2019-2020,1st,Medical Covered,1,2019,32200,32200,0,0,32200,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering
2717,Yale University (YU),Political Science,1.21,2018-2019,5th,,5,2018,30000,30000,0,0,30000,HistPolSoc,HistPolSoc,low,0,0,Yale University YU_HistPolSoc
2721,Stanford University (SU),mechanical engineering,1.5,2018-2019,2nd,,2,2018,43000,44000,0,0,44000,Engineering,Engineering,low,1000,1000,Stanford University SU_Engineering
2734,University of Florida (UF),Microbiology,1.67,2018-2019,1st,"I'm on a good fellowship, so I get extra funding. Most are at 27,000",1,2018,38000,40000,0,0,40000,Biology,Biology,low,2000,2000,University of Florida UF_Biology
2739,University of Wisconsin - Madison (UW),Chemistry,1.12,2018-2019,1st,,1,2018,25600,0,27000,0,27000,Chemistry,Chemistry,high,1400,1400,University of Wisconsin - Madison UW_Chemistry
2740,University of Pennsylvania,Cell and Molecular Biology,1.41,2019-2020,1st,,1,2019,34000,34000,0,0,34000,Biology,Biology,low,0,0,University of Pennsylvania_Biology
2743,Yale University (YU),Genetics,1.58,2018-2019,4th,,4,2018,39000,39000,0,0,39000,Biology,Biology,low,0,0,Yale University YU_Biology
2749,Georgia Institute of Technology (Georgia Tech),Electrical Engineering,1.08,2019-2020,1st,,1,2019,25200,25200,0,0,25200,Engineering,Engineering,low,0,0,Georgia Institute of Technology Georgia Tech_Engineering
2755,New York University (NYU),Anthropology,0.94,2019-2020,1st,,1,2019,28000,0,28000,0,28000,Biology,Biology,high,0,0,New York University NYU_Biology
2763,Princeton University,Sociology,1.31,2018-2019,3rd,"$9,456.67 of stipend falls under taxable (and mandatory) AI wages. $19,121.32 was issued as unreported Academic year stipend, and the remaining $5,400 given as a summer stipend. Crucially, Princeton varies the level of summer support according to department. Technically we are required to report external fellowships, whose amount then gets deducted from our stipend. The idea, presumably, is to limit variation across grad students within the university, though in implementation this honor system may or may not work.",3,2018,33380,33977,0,0,33977,HistPolSoc,HistPolSoc,low,597,597,Princeton University_HistPolSoc
2764,University of Illinois - Urbana- Champaign (UIUC),Chemistry,1.28,2018-2019,1st,,1,2018,28125,29000,0,0,29000,Chemistry,Chemistry,low,875,875,University of Illinois - Urbana- Champaign UIUC_Chemistry
2794,New York University (NYU),Sociology,1.1,2018-2019,1st,,1,2018,32800,34000,0,0,34000,HistPolSoc,HistPolSoc,low,1200,1200,New York University NYU_HistPolSoc
2797,Stanford University (SU),Genetics,1.38,2018-2019,1st,,1,2018,39700,40500,0,0,40500,Biology,Biology,low,800,800,Stanford University SU_Biology
2821,CUNY Graduate School and University Center,Psychology ,0.87,2019-2020,3rd,,3,2019,26000,26000,0,0,26000,HistPolSoc,HistPolSoc,low,0,0,CUNY Graduate School and University Center_HistPolSoc
2830,University of Michigan - Ann Arbor (UM),Political Science,1.37,2018-2019,1st,,1,2018,31600,31600,0,0,31600,HistPolSoc,HistPolSoc,low,0,0,University of Michigan - Ann Arbor UM_HistPolSoc
2832,Drexel University (DU),Physics,0.97,2018-2019,5th,"This is the TA stipend.

Drexel physics guarantees 6 years of funding through TA, though you are encouraged to get on an RA as soon as possible. 

This stipend is enough to reasonably live on if you are unmarried and childless, live with roommates, and don't have a car. My family still helps out with big purchases (laptop, apartment deposits, etc).",5,2018,23500,23500,0,0,23500,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Drexel University DU_PhysicsAndAstronomy
2837,Drexel University (DU),Physics,1.06,2019-2020,5th,"Fees, tuition, and basic insurance covered by department ",5,2019,25500,25500,0,0,25500,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Drexel University DU_PhysicsAndAstronomy
2839,Duke University (DU),Chemistry,1.75,2018-2019,4th,NSF GRFP and internal fellowship,4,2018,39000,39000,0,0,39000,Chemistry,Chemistry,low,0,0,Duke University DU_Chemistry
2850,University of Wisconsin - Madison (UW),Chemistry,1.18,2019-2020,1st,"Offered additional fellowship, $3000",1,2019,27000,0,27000,0,27000,Chemistry,Chemistry,high,0,0,University of Wisconsin - Madison UW_Chemistry
2866,Indiana University,Political Science,0.93,2018-2019,1st,,1,2018,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,Indiana University_HistPolSoc
2867,Pennsylvania State University (Penn State),Political Science,1.03,2018-2019,1st,,1,2018,23150,23150,0,0,23150,HistPolSoc,HistPolSoc,low,0,0,Pennsylvania State University Penn State_HistPolSoc
2870,Rutgers the State University of New Jersey - New Brunswick,Sociology,0.93,2019-2020,1st,,1,2019,24000,0,25000,0,25000,HistPolSoc,HistPolSoc,high,1000,1000,Rutgers the State University of New Jersey - New Brunswick_HistPolSoc
2880,University of Wisconsin - Madison (UW),Political Science,1.49,2019-2020,1st,,1,2019,34000,0,23000,11000,34000,HistPolSoc,HistPolSoc,high,0,0,University of Wisconsin - Madison UW_HistPolSoc
2884,University of California - Berkeley,Political Science,1.3,2019-2020,1st,12 months. Package slightly higher than standard due to university fellowship and small outside funding.  Not adjusted by inflation.,1,2019,36000,36000,0,0,36000,HistPolSoc,HistPolSoc,low,0,0,University of California - Berkeley_HistPolSoc
2887,Northeastern University (NU),Sociology,0.89,2018-2019,2nd,,2,2018,25500,0,22500,3500,26000,HistPolSoc,HistPolSoc,high,500,500,Northeastern University NU_HistPolSoc
2888,University of North Carolina - Chapel Hill (UNC),Sociology,0.81,2018-2019,1st,"For TA-ship.

Stipend is roughly paid out over 10 months, with a half paycheck in August and May. No guaranteed summer funding. Fees will go down to 0 after this year.",1,2018,18000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,2000,2000,University of North Carolina - Chapel Hill UNC_HistPolSoc
2894,Northeastern University (NU),Sociology ,0.84,2018-2019,1st,,1,2018,24050,24500,0,0,24500,HistPolSoc,HistPolSoc,low,450,450,Northeastern University NU_HistPolSoc
2895,Duke University (DU),Biology,1.31,2019-2020,1st,"$29,000 altogether. First year Biology PhD (ecology focus) RA (no teaching my first year!). Funding guaranteed for 5 years, including health insurance, all fees, and summer funding. Was informed that most students in my lab are successful in securing additional grants.",1,2019,29080,0,23580,5500,29080,Biology,Biology,high,0,0,Duke University DU_Biology
2899,Pennsylvania State University (Penn State),Psychology,0.96,2018-2019,1st,,1,2018,21500,0,19500,2000,21500,HistPolSoc,HistPolSoc,high,0,0,Pennsylvania State University Penn State_HistPolSoc
2904,University of California - San Diego (UCSD),Mathematics,1.44,2018-2019,1st,,1,2018,38020,0,35153,2867,38020,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of California - San Diego UCSD_MathematicsAndComputer Science
2911,Pennsylvania State University (Penn State),Sociology,0.98,2018-2019,6th and up,Summer funding  is always available.,6,2018,22000,22000,0,0,22000,HistPolSoc,HistPolSoc,low,0,0,Pennsylvania State University Penn State_HistPolSoc
2916,University of Minnesota - Twin Cities (UM),Psychology,0.79,2019-2020,1st,,1,2019,18200,0,20000,0,20000,HistPolSoc,HistPolSoc,high,1800,1800,University of Minnesota - Twin Cities UM_HistPolSoc
2917,University of Minnesota - Twin Cities (UM),Psychology,0.31,2019-2020,1st,,1,2019,7200,0,9000,0,9000,HistPolSoc,HistPolSoc,high,1800,1800,University of Minnesota - Twin Cities UM_HistPolSoc
2929,University of Michigan - Ann Arbor (UM),political science,1.04,2019-2020,1st,,1,2019,24083,0,24083,0,24083,HistPolSoc,HistPolSoc,high,0,0,University of Michigan - Ann Arbor UM_HistPolSoc
2934,University of California - Irvine (UCI),Sociology,0.72,2018-2019,1st,was offered around 52k extra in top offs in the form of summer support/ general topoff. Stipend is a 6 year teaching assistant kind of thing.,1,2018,21115,0,21273,0,21273,HistPolSoc,HistPolSoc,high,158,158,University of California - Irvine UCI_HistPolSoc
2944,Yale University (YU),Sociology,1.29,2018-2019,1st,,1,2018,31800,31800,0,0,31800,HistPolSoc,HistPolSoc,low,0,0,Yale University YU_HistPolSoc
2948,University of California - Berkeley,Mechanical Engineering,1.22,2018-2019,1st,NSF fellowship,1,2018,34000,34000,0,0,34000,Engineering,Engineering,low,0,0,University of California - Berkeley_Engineering
2949,University of California - Davis (UCD),Sociology,1.02,2018-2019,1st,,1,2018,24473,24473,0,0,24473,HistPolSoc,HistPolSoc,low,0,0,University of California - Davis UCD_HistPolSoc
2952,University of Illinois - Urbana- Champaign (UIUC),Chemistry,1.3,2018-2019,2nd,,2,2018,28700,30000,0,0,30000,Chemistry,Chemistry,low,1300,1300,University of Illinois - Urbana- Champaign UIUC_Chemistry
3012,University of Texas - Austin (UT),Anthropology,0.65,2018-2019,1st,,1,2018,14800,0,15000,0,15000,Biology,Biology,high,200,200,University of Texas - Austin UT_Biology
3053,University of California - San Diego (UCSD),Bioinformatics,1.13,2018-2019,1st,,1,2018,30000,30000,0,0,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of California - San Diego UCSD_MathematicsAndComputer Science
3073,Georgia Institute of Technology (Georgia Tech),Electrical Engineering,0.09,2019-2020,1st,,1,2019,2100,2100,0,0,2100,Engineering,Engineering,low,0,0,Georgia Institute of Technology Georgia Tech_Engineering
3076,University of Pennsylvania,Biology,1.24,2018-2019,5th,,5,2018,30000,30000,0,0,30000,Biology,Biology,low,0,0,University of Pennsylvania_Biology
3082,Stanford University (SU),Biology,1.33,2018-2019,3rd,,3,2018,38132,39000,0,0,39000,Biology,Biology,low,868,868,Stanford University SU_Biology
3104,University of Pennsylvania,Biology,1.27,2019-2020,1st,,1,2019,30500,32000,0,0,32000,Biology,Biology,low,1500,1500,University of Pennsylvania_Biology
3105,CUNY Graduate School and University Center,Psychology,0.52,2018-2019,1st,,1,2018,15523,15523,0,0,15523,HistPolSoc,HistPolSoc,low,0,0,CUNY Graduate School and University Center_HistPolSoc
3110,University of Maryland - College Park (UMD),Electrical Engineering,1.19,2019-2020,1st,,1,2019,36000,36000,0,0,36000,Engineering,Engineering,low,0,0,University of Maryland - College Park UMD_Engineering
3122,Pennsylvania State University (Penn State),chemical engineering,1.38,2019-2020,1st,,1,2019,31000,31000,0,0,31000,Engineering,Engineering,low,0,0,Pennsylvania State University Penn State_Engineering
3133,University of Minnesota - Twin Cities (UM),History,0.79,2018-2019,4th,,4,2018,18100,0,18500,0,18500,HistPolSoc,HistPolSoc,high,400,400,University of Minnesota - Twin Cities UM_HistPolSoc
3134,Michigan State University (MSU),Social Work,1.15,2019-2020,1st,,1,2019,23500,0,21500,2000,23500,HistPolSoc,HistPolSoc,high,0,0,Michigan State University MSU_HistPolSoc
3155,Stanford University (SU),Bioengineering,1.44,2019-2020,1st,HI is half subsidized. Grad on-campus housing is below market rate due to subsidization.  The department will bump the stipend up several thousand $ for NSF or NDSEG.,1,2019,41396,44000,0,0,44000,Engineering,Engineering,low,2604,2604,Stanford University SU_Engineering
3159,University of California - Berkeley,Political Science,1.15,2018-2019,1st,,1,2018,32000,0,27000,5000,32000,HistPolSoc,HistPolSoc,high,0,0,University of California - Berkeley_HistPolSoc
3161,Emory University,Sociology,1.34,2018-2019,1st,,1,2018,31159,32292,0,0,32292,HistPolSoc,HistPolSoc,low,1133,1133,Emory University_HistPolSoc
3172,University of Wisconsin - Madison (UW),Psychology,1.28,2019-2020,5th,Including health insurance and tuition waiver.,5,2019,29328,29328,0,0,29328,HistPolSoc,HistPolSoc,low,0,0,University of Wisconsin - Madison UW_HistPolSoc
3174,University of Colorado - Boulder (UCB),Spanish,0.78,2018-2019,1st,,1,2018,19800,0,21500,0,21500,LinguisticsAndCommunication,LinguisticsAndCommunication,high,1700,1700,University of Colorado - Boulder UCB_LinguisticsAndCommunication
3194,Purdue University - West Lafayette,Biomedical Engineering ,1.13,2019-2020,1st,,1,2019,24000,24000,0,0,24000,Engineering,Engineering,low,0,0,Purdue University - West Lafayette_Engineering
3198,University of California - Berkeley,Bioengineering,1.37,2018-2019,1st,,1,2018,38000,38000,0,0,38000,Engineering,Engineering,low,0,0,University of California - Berkeley_Engineering
3199,Pennsylvania State University (Penn State),psychology,0.9,2019-2020,1st,,1,2019,20205,0,20205,0,20205,HistPolSoc,HistPolSoc,high,0,0,Pennsylvania State University Penn State_HistPolSoc
3202,University of California - Riverside (UCR),Psychology,0.88,2018-2019,4th,,4,2018,21300,0,20000,2400,22400,HistPolSoc,HistPolSoc,high,1100,1100,University of California - Riverside UCR_HistPolSoc
3207,University of Pennsylvania,political science,0.2,2019-2020,2nd,,2,2019,4900,0,2800,2100,4900,HistPolSoc,HistPolSoc,low,0,0,University of Pennsylvania_HistPolSoc
3209,Harvard University (HU),Psychology,1.25,2018-2019,1st,"Full tuition, health, and stipend provided for five years. Teaching required for years 3 and 4.",1,2018,35676,35676,0,0,35676,HistPolSoc,HistPolSoc,low,0,0,Harvard University HU_HistPolSoc
3220,Columbia University (CU),History ,1.08,2018-2019,4th,,4,2018,32000,32000,0,0,32000,HistPolSoc,HistPolSoc,low,0,0,Columbia University CU_HistPolSoc
3236,University of California - Los Angeles (UCLA),Psychology,1.04,2018-2019,1st,,1,2018,27000,27000,0,0,27000,HistPolSoc,HistPolSoc,low,0,0,University of California - Los Angeles UCLA_HistPolSoc
3241,Princeton University,Psychology,1.32,2019-2020,1st,"29000 from stipend, 3000 from fellowship",1,2019,33500,0,32000,4500,36500,HistPolSoc,HistPolSoc,high,3000,3000,Princeton University_HistPolSoc
3244,University of Virginia (UVA),Materials Science and Engineering,1.18,2018-2019,5th,,5,2018,27000,27000,0,0,27000,Engineering,Engineering,low,0,0,University of Virginia UVA_Engineering
3249,Carnegie Mellon University (CMU),Mechanical Engineering,1.32,2012-2013,1st,,1,2012,22700,24000,0,0,24000,Engineering,Engineering,low,1300,1300,Carnegie Mellon University CMU_Engineering
