,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept
1379,University of Minnesota - Twin Cities (UM),Astrophysics,1.07,2019-2020,1st,,1,2019,24500,26000,0,0,26000,Astrophysics,Other,low,1500,1500,University of Minnesota - Twin Cities UM_Other
1380,University of Colorado - Boulder (UCB),Chemical & Biologican Engineering,1.18,2019-2020,1st,,1,2019,30000,32000,0,0,32000,Chemical & Biologican Engineering,Other,low,2000,2000,University of Colorado - Boulder UCB_Other
1382,Massachusetts Institute of Technology (MIT),Physics,1.43,2019-2020,2nd,,2,2019,39991,40331,0,0,40331,PhysicsAndAstronomy,PhysicsAndAstronomy,low,340,340,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy
1386,University of Notre Dame (ND),Civil & Environmental Engineering & Earth Sciences,1.63,2018-2019,3rd,,3,2018,33300,33500,0,0,33500,Civil & Environmental Engineering & Earth Sciences,Other,low,200,200,University of Notre Dame ND_Other
1390,Boston University (BU),Anthropology/Archaeology ,0.81,2019-2020,2nd,I think it's actually 8 rather than 9 months? I'd have to check but I don't think I get paid after April.,2,2019,23340,0,23340,0,23340,Anthropology/Archaeology ,Other,high,0,0,Boston University BU_Other
1392,University of Pennsylvania,Psychology,1.24,2016-2017,5th,,5,2016,30000,30000,0,0,30000,HistPolSoc,HistPolSoc,low,0,0,University of Pennsylvania_HistPolSoc
1395,University of Wisconsin - Madison (UW),Entomology,0.87,2018-2019,6th and up,,6,2018,19800,0,21000,0,21000,Entomology,Other,high,1200,1200,University of Wisconsin - Madison UW_Other
1400,Massachusetts Institute of Technology (MIT),Electrical Engineering and Computer Science,1.55,2019-2020,4th,,4,2019,43150,43320,0,0,43320,Electrical Engineering and Computer Science,Other,low,170,170,Massachusetts Institute of Technology MIT_Other
1403,Indiana University,School of Medicine ,1.34,2019-2020,2nd,,2,2019,29000,29000,0,0,29000,School of Medicine ,Other,low,0,0,Indiana University_Other
1404,Pennsylvania State University (Penn State),Geography,1.16,2019-2020,3rd,,3,2019,26000,26000,0,0,26000,Geography,Geography,low,0,0,Pennsylvania State University Penn State_Geography
1406,Duke University (DU),Cell and molecular biology ,1.4,2018-2019,2nd,,2,2018,31160,31160,0,0,31160,Cell and molecular biology ,Other,low,0,0,Duke University DU_Other
1407,University of California - Los Angeles (UCLA),NELC ,0.77,2019-2020,4th,,4,2019,20000,0,20000,0,20000,NELC ,Other,high,0,0,University of California - Los Angeles UCLA_Other
1408,California Institute of Technology (Caltech),Applied Physics and Materials Science,1.41,2019-2020,4th,,4,2019,36500,36500,0,0,36500,Applied Physics and Materials Science,Other,low,0,0,California Institute of Technology Caltech_Other
1410,Georgia Institute of Technology (Georgia Tech),Biomedical Engineering,1.27,2019-2020,1st,,1,2019,29476,31500,0,0,31500,Engineering,Engineering,low,2024,2024,Georgia Institute of Technology Georgia Tech_Engineering
1411,Purdue University - West Lafayette,Materials Engineering,1.08,2018-2019,4th,,4,2018,22760,25200,0,0,25200,Materials Engineering,Other,low,2440,2440,Purdue University - West Lafayette_Other
1418,Michigan State University (MSU),"Plant, Soil, and Microbial Science",1.29,2018-2019,2nd,"Tuition is covered up to 9 credits per semester (6 cr is considered full time). The employment contract feels a little misleading. The contract requires an average of 20 hrs work per week at a rate of ~$25/hr (you only get paid for a maximum of 20 hrs/week).  - You will be working 40hr/week though. Everybody is, and most are also pushing into the 60hrs/week range as well. Fine, it's research, we love it, it's not about the hours. And it's mostly fine during the semester when you have a couple of classes taking up ~10 hours during the week. However, during the summer, when you're taking no classes you're still there for 40 hrs and only getting paid for 20. In reality, you're getting paid ~$12.50 an hour (or worse if you're there for even more hours).  It feels strange and dishonest when I fill out payroll sheets that only show 1/2 the time I'm working. In any other job, this would be called wage theft, but since its in academia, it's considered research experience... Rather than hiding behind the guise of hourly rates, I wish the contract would list the position as salary. ",2,2018,26426,26426,0,0,26426,"Plant, Soil, and Microbial Science",Other,low,0,0,Michigan State University MSU_Other
1420,University of North Carolina - Chapel Hill (UNC),History,0.76,2018-2019,3rd,"The summer funding we receive is only for the first 3 years in the department, afterwards we don't receive summer funding. ",3,2018,17000,0,15800,3000,18800,HistPolSoc,HistPolSoc,high,1800,1800,University of North Carolina - Chapel Hill UNC_HistPolSoc
1424,University of Illinois - Urbana- Champaign (UIUC),Bioengineering,1.06,2018-2019,2nd,"My stipend is slightly raised each year, however I believe that is my PI and not necessarily the department practice. I also receive a $4,000 additional grant per academic year.",2,2018,23333,24640,0,0,24640,Engineering,Engineering,low,1307,1307,University of Illinois - Urbana- Champaign UIUC_Engineering
1425,University of Minnesota - Twin Cities (UM),Political Science,1.06,2018-2019,4th,,4,2018,24400,25000,0,0,25000,HistPolSoc,HistPolSoc,low,600,600,University of Minnesota - Twin Cities UM_HistPolSoc
1430,University of North Carolina - Chapel Hill (UNC),Sociology,1.14,2007-2008,1st,Pop center fellowship,1,2007,21500,21500,0,0,21500,HistPolSoc,HistPolSoc,low,0,0,University of North Carolina - Chapel Hill UNC_HistPolSoc
1435,University of Texas - Austin (UT),Information,1.33,2019-2020,3rd,,3,2019,30455,30955,0,0,30955,Information,Other,low,500,500,University of Texas - Austin UT_Other
1437,University of Florida (UF),Anthropology ,0.74,2018-2019,4th,My tuition is covered but each semester Im required to pay around $800 in fees.,4,2018,16830,0,18430,0,18430,Anthropology ,Other,high,1600,1600,University of Florida UF_Other
1438,Stony Brook University - SUNY,Genetics ,1.23,2019-2020,4th,,4,2019,34400,35000,0,0,35000,Genetics ,Other,low,600,600,Stony Brook University - SUNY_Other
1443,University of Maryland - College Park (UMD),Government and Politics,0.56,2018-2019,5th,,5,2018,16900,0,18000,0,18000,Government and Politics,Other,high,1100,1100,University of Maryland - College Park UMD_Other
1445,Massachusetts Institute of Technology (MIT),AeroAstro,1.29,2019-2020,2nd,,2,2019,35988,35988,0,0,35988,AeroAstro,Other,low,0,0,Massachusetts Institute of Technology MIT_Other
1446,Rutgers the State University of New Jersey - New Brunswick,English,0.85,2018-2019,5th,,5,2018,22000,0,23000,0,23000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,1000,1000,Rutgers the State University of New Jersey - New Brunswick_LinguisticsAndCommunication
1451,University of Illinois - Urbana- Champaign (UIUC),Atmospheric Sciences,1.06,2018-2019,1st,Health insurance is $1392 addition,1,2018,23403,26565,0,0,26565,Atmospheric Sciences,Other,low,3162,3162,University of Illinois - Urbana- Champaign UIUC_Other
1453,Pennsylvania State University (Penn State),Mechanical Engineering,1.3,2013-2014,3rd,,3,2013,24000,24000,0,0,24000,Engineering,Engineering,low,0,0,Pennsylvania State University Penn State_Engineering
1456,Arizona State University (ASU),School of Human Evolution and Social Change,0.77,2019-2020,6th and up,,6,2019,17112,0,18000,0,18000,School of Human Evolution and Social Change,Other,high,888,888,Arizona State University ASU_Other
1463,New York University (NYU),Biology,1.51,2019-2020,1st,"The second year and beyond we receive $400 per month for housing.  $7,000 additional if you TA a class.",1,2019,45000,45000,0,0,45000,Biology,Biology,low,0,0,New York University NYU_Biology
1465,New York University (NYU),Biology,1.51,2018-2019,1st,"The second year and beyond we receive $400 per month for housing.  $7,000 additional if you TA a class.",1,2018,45000,45000,0,0,45000,Biology,Biology,low,0,0,New York University NYU_Biology
1466,Arizona State University (ASU),Computer Engineering,0.72,2017-2018,5th,IGERT Fellowship Stipend,5,2017,16000,18000,0,0,18000,Computer Engineering,Other,low,2000,2000,Arizona State University ASU_Other
1467,Arizona State University (ASU),Computer Engineering,1.35,2016-2017,5th,IGERT Fellowship Stipend,5,2016,30000,30000,0,0,30000,Computer Engineering,Other,low,0,0,Arizona State University ASU_Other
1468,Arizona State University (ASU),Computer Engineering,1.35,2015-2016,5th,IGERT Fellowship Stipend,5,2015,30000,30000,0,0,30000,Computer Engineering,Other,low,0,0,Arizona State University ASU_Other
1470,Columbia University (CU),Systems biology ,1.32,2019-2020,3rd,,3,2019,39400,39400,0,0,39400,Systems biology ,Other,low,0,0,Columbia University CU_Other
1482,Virginia Tech,School of Plant and Environmental Sciences,1.01,2019-2020,4th,"Out of state students pay comprenhensive and  common wealth fees. These are not covered by  fellowship/scholarship. So gross pay is actually less, before taxes. There are contributions though towards medical insurance.",4,2019,21200,24000,0,0,24000,School of Plant and Environmental Sciences,Other,low,2800,2800,Virginia Tech_Other
1487,University of Florida (UF),Molecular Genetics and Microbiology,1.17,2018-2019,3rd,RA pay that includes an intramural fellowship.,3,2018,26600,28600,0,0,28600,Molecular Genetics and Microbiology,Other,low,2000,2000,University of Florida UF_Other
1488,Stanford University (SU),Psychology,1.81,2018-2019,5th,This is a fellowship salary so includes a slightly higher base stipend and $5500 worth of bonuses from the fellowship. ,5,2018,51900,53000,0,0,53000,HistPolSoc,HistPolSoc,low,1100,1100,Stanford University SU_HistPolSoc
1489,University of Pennsylvania,Annenberg School for Communication,1.29,2019-2020,1st,Health insurance and fees paid for.,1,2019,31000,0,27800,3200,31000,Annenberg School for Communication,Other,high,0,0,University of Pennsylvania_Other
1495,Cornell University (CU),College of Human Ecology/Human Development/Developmental Psychology,1.03,2016-2017,1st,,1,2016,25000,0,25000,0,25000,College of Human Ecology/Human Development/Developmental Psychology,Other,high,0,0,Cornell University CU_Other
1500,Stanford University (SU),Biosciences,1.42,2018-2019,1st,Housing is 1300 per month,1,2018,40800,43800,0,0,43800,Biology,Biology,low,3000,3000,Stanford University SU_Biology
1503,University of Southern California (USC),Spatial Sciences Institute,1.18,2018-2019,3rd,,3,2018,30500,0,30500,0,30500,Spatial Sciences Institute,Other,high,0,0,University of Southern California USC_Other
1506,University of Washington (UW),Molecular and Cellular Biology ,1.67,2019-2020,1st,the union contract ensures we get a 2% increase per year ,1,2019,38784,38784,0,0,38784,Molecular and Cellular Biology ,Other,low,0,0,University of Washington UW_Other
1512,University of North Carolina - Chapel Hill (UNC),"Environment, Ecology, and Energy Program",0.72,2018-2019,4th,"Summer pay is not provided, nor are there opportunities generally in the department. ",4,2018,16004,0,18000,0,18000,"Environment, Ecology, and Energy Program",Other,high,1996,1996,University of North Carolina - Chapel Hill UNC_Other
1513,University of Maryland - College Park (UMD),Electrical & Computer Engineering,1.06,2018-2019,3rd,,3,2018,32100,33000,0,0,33000,Electrical & Computer Engineering,Other,low,900,900,University of Maryland - College Park UMD_Other
1521,University of Southern California (USC),Political Science,1.16,2018-2019,2nd,,2,2018,29949,0,30000,0,30000,HistPolSoc,HistPolSoc,high,51,51,University of Southern California USC_HistPolSoc
1522,Stanford University (SU),Biology ,1.54,2018-2019,4th,,4,2018,44270,44270,0,0,44270,Biology,Biology,low,0,0,Stanford University SU_Biology
1524,University of California - Berkeley,"Environmental Science, Policy, & Management",1.08,2019-2020,4th,,4,2019,30000,30000,0,0,30000,"Environmental Science, Policy, & Management",Other,low,0,0,University of California - Berkeley_Other
1529,University of Illinois - Urbana- Champaign (UIUC),Anthropology ,0.65,2015-2016,6th and up,,6,2015,14200,0,14500,0,14500,Anthropology ,Other,high,300,300,University of Illinois - Urbana- Champaign UIUC_Other
1535,University of Pennsylvania,Cell and Molecular Biology,1.41,2019-2020,3rd,,3,2019,34000,34000,0,0,34000,Biology,Biology,low,0,0,University of Pennsylvania_Biology
1536,Ohio State University (OSU),School of Communication ,1.26,2019-2020,1st,,1,2019,25236,26316,0,0,26316,School of Communication ,Other,low,1080,1080,Ohio State University OSU_Other
1546,University of Pennsylvania,Bioengineering ,1.53,2019-2020,1st,,1,2019,37000,37000,0,0,37000,Bioengineering ,Other,low,0,0,University of Pennsylvania_Other
1549,University of Wisconsin - Madison (UW),Statistics,1.03,2018-2019,2nd,,2,2018,23500,25000,0,0,25000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,1500,1500,University of Wisconsin - Madison UW_MathematicsAndComputer Science
1550,University of North Carolina - Chapel Hill (UNC),Nutrition ,1.3,2018-2019,3rd,I also get health insurance (~$5000/year) and tuition (~$7000/year).,3,2018,29000,29000,0,0,29000,Nutrition ,Other,low,0,0,University of North Carolina - Chapel Hill UNC_Other
1552,University of Texas - Austin (UT),Educational Psychology,0.79,2018-2019,4th,,4,2018,18000,18000,0,0,18000,Educational Psychology,Other,low,0,0,University of Texas - Austin UT_Other
1554,University of California - Davis (UCD),Molecular and Cell Biology,1.4,2018-2019,3rd,,3,2018,33533,33533,0,0,33533,Molecular and Cell Biology,Other,low,0,0,University of California - Davis UCD_Other
1556,University of California - Berkeley,Integrative Biology,0.94,2018-2019,2nd,,2,2018,26000,0,22000,4000,26000,Integrative Biology,Other,high,0,0,University of California - Berkeley_Other
1558,Harvard University (HU),Astrophysics,1.32,2018-2019,4th,,4,2018,37932,37932,0,0,37932,Astrophysics,Other,low,0,0,Harvard University HU_Other
1559,Washington University in St. Louis (Wash U),Molecular Cellular Biology,1.48,2018-2019,2nd,,2,2018,30500,30500,0,0,30500,Molecular Cellular Biology,Other,low,0,0,Washington University in St. Louis Wash U_Other
1560,Purdue University - West Lafayette,"Earth, Atmospheric, and Planetary Sciences",1.11,2019-2020,3rd,"Health insurance not covered, ~$48 a month
Tuition covered",3,2019,23404,24000,0,0,24000,"Earth, Atmospheric, and Planetary Sciences",Other,low,596,596,Purdue University - West Lafayette_Other
1562,University of Notre Dame (ND),"Chemical and Biomolecular Engineering, PhD",1.46,2018-2019,5th,Parking not included (~150/yr). Tuition and health insurance covered. ,5,2018,29928,30000,0,0,30000,"Chemical and Biomolecular Engineering, PhD",Other,low,72,72,University of Notre Dame ND_Other
1563,Oregon State University (OSU),Crop and Soil Science/ Soil Science Program,1.17,2019-2020,2nd,"I included health insurance premiums in my required fees because the university requires graduate assistants carry the university health insurance, and they cover 90% of the premium. The fees without the insurance premium total to $148. This also includes a 90% fee remission by the university. The stipend, fee remission and health insurance coverage are written into our contracts thanks to our union.",2,2019,24349,24955,0,0,24955,Crop and Soil Science/ Soil Science Program,Other,low,606,606,Oregon State University OSU_Other
1564,Vanderbilt University,"Pathology, Microbiology, and Immunology ",1.37,2018-2019,3rd,Plus health insurance and tuition/activity fees,3,2018,31500,31500,0,0,31500,"Pathology, Microbiology, and Immunology ",Other,low,0,0,Vanderbilt University_Other
1565,University of Pennsylvania,Biology,1.33,2019-2020,2nd,Health care included. Not unionized,2,2019,32000,32000,0,0,32000,Biology,Biology,low,0,0,University of Pennsylvania_Biology
1566,University of Illinois - Chicago (UIC),Biological sciences ,0.65,2019-2020,5th,,5,2019,15675,0,16875,0,16875,Biological sciences ,Other,high,1200,1200,University of Illinois - Chicago UIC_Other
1567,Stanford University (SU),Stem cell biology,1.53,2018-2019,5th,"WITH fellowships (NSF+internal stanford), otherwise would be a few k lower",5,2018,44000,44000,0,0,44000,Stem cell biology,Other,low,0,0,Stanford University SU_Other
1570,Purdue University - West Lafayette,Entomology,0.85,2019-2020,2nd,Many other costs on top. Such as healthcare and other insurances,2,2019,18000,19200,0,0,19200,Entomology,Other,low,1200,1200,Purdue University - West Lafayette_Other
1575,University of Texas - Austin (UT),Integrative Biology,1.18,2019-2020,3rd,Health insurance and tuition paid by UT,3,2019,27000,27000,0,0,27000,Integrative Biology,Other,low,0,0,University of Texas - Austin UT_Other
1580,University of Washington (UW),Biochemistry,1.45,2018-2019,5th,,5,2018,33800,35000,0,0,35000,Chemistry,Chemistry,low,1200,1200,University of Washington UW_Chemistry
1583,University of Wisconsin - Madison (UW),Industrial and Systems Engineering ,1.12,2019-2020,2nd,,2,2019,25549,27000,0,0,27000,Industrial and Systems Engineering ,Other,low,1451,1451,University of Wisconsin - Madison UW_Other
1596,University of Florida (UF),Agricultural and Biological Engineering,1.01,2018-2019,4th,,4,2018,22900,25000,0,0,25000,Agricultural and Biological Engineering,Other,low,2100,2100,University of Florida UF_Other
1601,Washington University in St. Louis (Wash U),Computational and Data Sciences,1.5,2019-2020,2nd,,2,2019,31000,31500,0,0,31500,Computational and Data Sciences,Other,low,500,500,Washington University in St. Louis Wash U_Other
1602,Georgia Institute of Technology (Georgia Tech),College of Computing,0.83,2019-2020,1st,,1,2019,19353,0,22275,0,22275,College of Computing,Other,high,2922,2922,Georgia Institute of Technology Georgia Tech_Other
1604,Pennsylvania State University (Penn State),Communication Arts and Sciences,1.42,2019-2020,1st,Summer teaching available at about $4500 per section. Some students can teach two but most teach one section. ,1,2019,32000,0,30000,2000,32000,Communication Arts and Sciences,Other,high,0,0,Pennsylvania State University Penn State_Other
1607,Cornell University (CU),Nutritional Sciences,1.48,2018-2019,5th,Tuition waive + health insurance,5,2018,35800,36000,0,0,36000,Nutritional Sciences,Other,low,200,200,Cornell University CU_Other
1614,University of Wisconsin - Madison (UW),Environmental Studies,0.66,2019-2020,1st,"Foreign Language and Area Studies (FLAS) Fellowship (funded by the Dept of Education)
Tuition remission, health insurance, no segregated fees required
Taxes not withheld",1,2019,15000,0,15000,0,15000,Environmental Studies,Other,high,0,0,University of Wisconsin - Madison UW_Other
1618,Cornell University (CU),Entomology,1.37,2016-2017,1st,"stipend is for 15hrs/week of an ""Extension and Outreach"" Assistantship, plus guaranteed summer funding",1,2016,33152,33152,0,0,33152,Entomology,Other,low,0,0,Cornell University CU_Other
1620,University of North Carolina - Chapel Hill (UNC),Health Policy and Management,0.77,2018-2019,1st,Required to find summer finding on an individual basis,1,2018,17100,0,17100,0,17100,Health Policy and Management,Other,high,0,0,University of North Carolina - Chapel Hill UNC_Other
1621,Ohio State University (OSU),School of Earth Sciences,1.23,2018-2019,3rd,"Health insurance is optional, but subsidized 85% for grad students. Final cost for graduate students  ~$500 per year.",3,2018,24745,0,18972,6323,25295,School of Earth Sciences,Other,high,550,550,Ohio State University OSU_Other
1622,Georgia State University (GSU),Psychology / Cognitive Sciences,1.31,2015-2016,5th,,5,2015,30500,32000,0,0,32000,Psychology / Cognitive Sciences,Other,low,1500,1500,Georgia State University GSU_Other
1623,Georgia State University (GSU),Psychology / Cognitive Sciences,1.27,2015-2016,4th,,4,2015,29500,31000,0,0,31000,Psychology / Cognitive Sciences,Other,low,1500,1500,Georgia State University GSU_Other
1624,Georgia State University (GSU),Psychology / Cognitive Sciences,0.97,2015-2016,3rd,,3,2015,22500,24000,0,0,24000,Psychology / Cognitive Sciences,Other,low,1500,1500,Georgia State University GSU_Other
1625,Georgia State University (GSU),Psychology / Cognitive Sciences,0.75,2015-2016,2nd,,2,2015,17500,19000,0,0,19000,Psychology / Cognitive Sciences,Other,low,1500,1500,Georgia State University GSU_Other
1626,Georgia State University (GSU),Psychology / Cognitive Sciences,0.79,2014-2015,1st,,1,2014,16500,18000,0,0,18000,Psychology / Cognitive Sciences,Other,low,1500,1500,Georgia State University GSU_Other
1627,Cornell University (CU),Entomology,1.48,2018-2019,3rd,this is on NSF GRFP,3,2018,36000,36000,0,0,36000,Entomology,Other,low,0,0,Cornell University CU_Other
1629,University of Wisconsin - Madison (UW),Entomology,1.02,2019-2020,2nd,,2,2019,23216,24816,0,0,24816,Entomology,Other,low,1600,1600,University of Wisconsin - Madison UW_Other
1630,University of North Carolina - Chapel Hill (UNC),Political Science,0.9,2018-2019,4th,,4,2018,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,University of North Carolina - Chapel Hill UNC_HistPolSoc
1631,Indiana University,Informatics,1.02,2019-2020,3rd,"Summer employment is not guaranteed.

Fees amount includes $206.05 for summer. If I had not chosen to stay in town and take classes over the summer, I would only have paid $1143.56 in fees.",3,2019,22051,0,19500,3900,23400,Informatics,Other,high,1349,1349,Indiana University_Other
1632,Stony Brook University - SUNY,IDPAS,0.72,2018-2019,5th,9 month stipend pre-tax. Includes a separate intramural fellowship (Turner/GCF Fellowship). Student fees are ~1k each semester (2k per year).,5,2018,20000,0,20000,0,20000,IDPAS,Other,high,0,0,Stony Brook University - SUNY_Other
1633,University of Alabama - Birmingham (UAB),Biochemistry & Molecular Genetics,1.46,2013-2014,6th and up,,6,2013,28000,28000,0,0,28000,Biochemistry & Molecular Genetics,Other,low,0,0,University of Alabama - Birmingham UAB_Other
1634,University of Alabama - Birmingham (UAB),Biochemistry & Molecular Genetics,1.2,2007-2008,1st,,1,2007,23000,23000,0,0,23000,Biochemistry & Molecular Genetics,Other,low,0,0,University of Alabama - Birmingham UAB_Other
1636,University of Alabama - Birmingham (UAB),Biochemistry & Molecular Genetics,1.07,2018-2019,1st,,1,2018,23000,23000,0,0,23000,Biochemistry & Molecular Genetics,Other,low,0,0,University of Alabama - Birmingham UAB_Other
1637,University of Miami (UM),Abess,1.2,2018-2019,3rd,,3,2018,28700,30000,0,0,30000,Abess,Other,low,1300,1300,University of Miami UM_Other
1638,Emory University,History,1.28,2019-2020,4th,,4,2019,29900,31000,0,0,31000,HistPolSoc,HistPolSoc,low,1100,1100,Emory University_HistPolSoc
1640,University of Washington (UW),Businesses school,1.37,2018-2019,6th and up,,6,2018,32000,33000,0,0,33000,Businesses school,Other,low,1000,1000,University of Washington UW_Other
1641,Carnegie Mellon University (CMU),School of Computer Science,1.33,2015-2016,5th,"Pennsylvania doesn't tax stipends at a state or local level, so my taxes were very low.  (Apologies for double submission, didn't realize that I was supposed to enter the yearly amount, not the monthly)",5,2015,27600,27600,0,0,27600,School of Computer Science,Other,low,0,0,Carnegie Mellon University CMU_Other
1642,Carnegie Mellon University (CMU),School of Computer Science,0.11,2015-2016,5th,"Pennsylvania doesn't tax stipends at a state or local level, so my taxes were very low. ",5,2015,2300,2300,0,0,2300,School of Computer Science,Other,low,0,0,Carnegie Mellon University CMU_Other
1647,University of Florida (UF),Biology,0.87,2019-2020,2nd,,2,2019,19700,0,20500,0,20500,Biology,Biology,high,800,800,University of Florida UF_Biology
1652,University of Pennsylvania,Biomedical Graduate Studies/Biochemistry and Molecular Biophysics,1.41,2019-2020,5th,"All tuition and fees paid for by program, includes health insurance",5,2019,34000,34000,0,0,34000,Biomedical Graduate Studies/Biochemistry and Molecular Biophysics,Other,low,0,0,University of Pennsylvania_Other
1655,University of Alabama - Birmingham (UAB),GBS,1.39,2018-2019,3rd,,3,2018,30000,30000,0,0,30000,GBS,Other,low,0,0,University of Alabama - Birmingham UAB_Other
1657,University of California - Berkeley,Helen Wills Neuroscience Institute,1.33,2018-2019,4th,,4,2018,37000,37000,0,0,37000,Helen Wills Neuroscience Institute,Other,low,0,0,University of California - Berkeley_Other
1658,University of Chicago (UC),Chemistry,1.38,2011-2012,1st,,1,2011,30000,30000,0,0,30000,Chemistry,Chemistry,low,0,0,University of Chicago UC_Chemistry
1660,Clemson University (CU),Plant and Environmental Sciences,0.96,2019-2020,1st,,1,2019,20000,20000,0,0,20000,Plant and Environmental Sciences,Other,low,0,0,Clemson University CU_Other
1662,University of Virginia (UVA),Curriculum & Instruction,0.79,2019-2020,2nd,Summer pay is variable based on what work you can get at the university. You can also work 10 hours beyond the 20 per week during the semester. ,2,2019,18000,0,18000,0,18000,Curriculum & Instruction,Other,high,0,0,University of Virginia UVA_Other
1667,University of North Carolina - Chapel Hill (UNC),Phamacology,1.46,2018-2019,3rd,,3,2018,32500,32500,0,0,32500,Phamacology,Other,low,0,0,University of North Carolina - Chapel Hill UNC_Other
1668,Washington University in St. Louis (Wash U),Plant and Microbial Biosciences ,1.48,2019-2020,2nd,,2,2019,30500,30500,0,0,30500,Plant and Microbial Biosciences ,Other,low,0,0,Washington University in St. Louis Wash U_Other
1670,University of Minnesota - Twin Cities (UM),"Ecology, Evolution and Behavior",1.04,2018-2019,3rd,"$24,000 = 9-month TA + summer funding from the department

Fees are higher before students have completed their qualifying exams (more like $500)",3,2018,23800,24000,0,0,24000,"Ecology, Evolution and Behavior",Other,low,200,200,University of Minnesota - Twin Cities UM_Other
1675,University of Florida (UF),Biology,0.84,2019-2020,1st,Tuition covered,1,2019,19000,0,20500,0,20500,Biology,Biology,high,1500,1500,University of Florida UF_Biology
1676,North Carolina State University (NCSU),"AgBioFEWS (Agricultural Biotechnology in Our Evolving Food, Energy, and Water Systems)",1.49,2018-2019,1st,Plus tuition and health insurance.,1,2018,34000,0,34000,0,34000,"AgBioFEWS (Agricultural Biotechnology in Our Evolving Food, Energy, and Water Systems)",Other,high,0,0,North Carolina State University NCSU_Other
1678,Princeton University,Religion,1.27,2019-2020,3rd,,3,2019,32229,34443,0,0,34443,ArtsAndTheology,ArtsAndTheology,low,2214,2214,Princeton University_ArtsAndTheology
1679,Harvard University (HU),Neurobiology,1.38,2018-2019,6th and up,"no teaching requirement, paid tuition",6,2018,39528,39528,0,0,39528,Neurobiology,Other,low,0,0,Harvard University HU_Other
1684,Northwestern University (NU),Earth and Planetary Sciences,1.3,2018-2019,2nd,,2,2018,31520,32000,0,0,32000,Earth and Planetary Sciences,Other,low,480,480,Northwestern University NU_Other
1685,Pennsylvania State University (Penn State),Entomology,1.26,2018-2019,4th,,4,2018,28264,28264,0,0,28264,Entomology,Other,low,0,0,Pennsylvania State University Penn State_Other
1693,University of Texas - Dallas (UTD),BBS / Neuroscience,0.93,2017-2018,5th,No health insurance included,5,2017,20000,20000,0,0,20000,BBS / Neuroscience,Other,low,0,0,University of Texas - Dallas UTD_Other
1695,Virginia Tech,Entomology,1.03,2018-2019,4th,,4,2018,21757,23853,0,0,23853,Entomology,Other,low,2096,2096,Virginia Tech_Other
1701,University at Buffalo - SUNY,PPBS ,1.23,2019-2020,1st,,1,2019,25900,27000,0,0,27000,PPBS ,Other,low,1100,1100,University at Buffalo - SUNY_Other
1702,University of Virginia (UVA),Psychology,1.05,2019-2020,3rd,Health insurance is also provided,3,2019,24000,24000,0,0,24000,HistPolSoc,HistPolSoc,low,0,0,University of Virginia UVA_HistPolSoc
1703,Vanderbilt University,Chemical and Biomolecular Engineering,1.31,2018-2019,5th,"This stipend is to cover living expenses. Tuition, health insurance and gym fees are covered by Vanderbilt in the PhD Engineering program. ",5,2018,29970,30000,0,0,30000,Engineering,Engineering,low,30,30,Vanderbilt University_Engineering
1706,Cornell University (CU),Physics,1.52,2019-2020,6th and up,,6,2019,36865,37000,0,0,37000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,135,135,Cornell University CU_PhysicsAndAstronomy
1707,University of Georgia (UGA),Infectious Diseases,1.63,2019-2020,4th,Please note that Im a Doctor in Veterinary Medicine so this stipend is for students which have a DVM,4,2019,34500,36000,0,0,36000,Infectious Diseases,Other,low,1500,1500,University of Georgia UGA_Other
1708,University of Delaware (UD),Chemical and Biomolecular Engineering,1.23,2019-2020,1st,Fees are paid each semester (~$400 each semester). Tuition is waived and only federal and state taxes are withheld. ,1,2019,31200,32000,0,0,32000,Engineering,Engineering,low,800,800,University of Delaware UD_Engineering
1709,University of Minnesota - Twin Cities (UM),Psychology,1.04,2019-2020,5th,"I'm on an NIH T32 fellowship. If I were not, I would be paid less, would not have guaranteed summer funding, and have more fees. ",5,2019,23870,24000,0,0,24000,HistPolSoc,HistPolSoc,low,130,130,University of Minnesota - Twin Cities UM_HistPolSoc
1710,University of Washington (UW),Oceanography,1.47,2019-2020,6th and up,,6,2019,34299,35028,0,0,35028,Oceanography,Other,low,729,729,University of Washington UW_Other
1712,University of Tennessee - Knoxville,Earth & Planetary Sciences (EPS),0.59,2019-2020,3rd,"health insurance is covered by the department. stipend is for PhD students. MS students in the same department make $13,000",3,2019,12533,15000,0,0,15000,Earth & Planetary Sciences (EPS),Other,low,2467,2467,University of Tennessee - Knoxville_Other
1720,Princeton University,Woodrow Wilson School,1.36,2018-2019,5th,,5,2018,34500,34500,0,0,34500,Woodrow Wilson School,Other,low,0,0,Princeton University_Other
