,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept
1744,Arizona State University (ASU),Chemistry,1.21,2019-2020,5th,,5,2019,26911,26911,0,0,26911,Chemistry,Chemistry,low,0,0,Arizona State University ASU_Chemistry
1745,Johns Hopkins University (JHU),Biomedical Engineering,1.31,2019-2020,1st,,1,2019,33800,33800,0,0,33800,Engineering,Engineering,low,0,0,Johns Hopkins University JHU_Engineering
1746,Stony Brook University - SUNY,Biomedical Engineering,0.97,2019-2020,2nd,"RA after 1st year, health insurance is not covered (need to pay at a discounted rate), and in addition ~$2000 fees",2,2019,27000,29000,0,0,29000,Engineering,Engineering,low,2000,2000,Stony Brook University - SUNY_Engineering
1749,Florida State University (FSU),Philosophy,0.69,2018-2019,2nd,It is roughly $1000 in fees for each spring and fall semester. The summer fees are about $500,2,2018,16000,0,16000,2500,18500,ArtsAndTheology,ArtsAndTheology,high,2500,2500,Florida State University FSU_ArtsAndTheology
1752,University of Colorado - Boulder (UCB),Sociology,0.81,2019-2020,1st,,1,2019,20683,0,22781,0,22781,HistPolSoc,HistPolSoc,high,2098,2098,University of Colorado - Boulder UCB_HistPolSoc
1754,New York University (NYU),Sociology ,1.01,2019-2020,6th and up,,6,2019,30000,0,30000,0,30000,HistPolSoc,HistPolSoc,high,0,0,New York University NYU_HistPolSoc
1755,University of Minnesota - Twin Cities (UM),Curriculum and Instruction,0.67,2018-2019,1st,,1,2018,15300,0,18000,0,18000,Education,Education,high,2700,2700,University of Minnesota - Twin Cities UM_Education
1757,University of Central Florida (UCF),Computer Science,0.52,2018-2019,2nd,Have had payment amount cut by half sporadically throughout year. Wouldn't recommend. ,2,2018,12000,18000,0,0,18000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,6000,6000,University of Central Florida UCF_MathematicsAndComputer Science
1761,Clemson University (CU),Physics,1.03,2019-2020,2nd,,2,2019,21500,0,23000,0,23000,PhysicsAndAstronomy,PhysicsAndAstronomy,high,1500,1500,Clemson University CU_PhysicsAndAstronomy
1778,University of Oklahoma (OU),Chemistry,0.97,2019-2020,2nd,12 month salary figure is assuming you're TA or RA for the entire year. ,2,2019,19551,23066,0,0,23066,Chemistry,Chemistry,low,3515,3515,University of Oklahoma OU_Chemistry
1780,University of Oklahoma (OU),Chemistry,0.85,2018-2019,1st,12 month salary figure is assuming you're TA or RA for the entire year. ,1,2018,17036,20830,0,0,20830,Chemistry,Chemistry,low,3794,3794,University of Oklahoma OU_Chemistry
1781,University of Illinois - Urbana- Champaign (UIUC),Geography,0.79,2019-2020,1st,,1,2019,17400,0,18000,0,18000,Geography,Geography,high,600,600,University of Illinois - Urbana- Champaign UIUC_Geography
1786,Columbia University (CU),Electrical Engineering,1.01,2018-2019,1st,,1,2018,30000,0,30000,0,30000,Engineering,Engineering,high,0,0,Columbia University CU_Engineering
1789,University of Washington (UW),Physics,1.85,2018-2019,1st,,1,2018,43000,0,43000,0,43000,PhysicsAndAstronomy,PhysicsAndAstronomy,high,0,0,University of Washington UW_PhysicsAndAstronomy
1802,University of Rochester (UR),Mechanical Engineering,1.35,2019-2020,1st,,1,2019,28864,29500,0,0,29500,Engineering,Engineering,low,636,636,University of Rochester UR_Engineering
1804,Clemson University (CU),Electrical and Computer Engineering,0.6,2018-2019,2nd,The amounts are for a year. ,2,2018,12500,15000,0,0,15000,Engineering,Engineering,low,2500,2500,Clemson University CU_Engineering
1805,University of Kentucky (UK),Psychology,0.97,2018-2019,4th,,4,2018,19750,0,17000,3000,20000,HistPolSoc,HistPolSoc,high,250,250,University of Kentucky UK_HistPolSoc
1806,University of Texas - Austin (UT),Psychology,0.26,2019-2020,5th,,5,2019,6000,0,2000,4000,6000,HistPolSoc,HistPolSoc,low,0,0,University of Texas - Austin UT_HistPolSoc
1812,Rutgers the State University of New Jersey - New Brunswick,History,0.97,2018-2019,1st,,1,2018,25000,0,25000,0,25000,HistPolSoc,HistPolSoc,high,0,0,Rutgers the State University of New Jersey - New Brunswick_HistPolSoc
1815,Rice University,Ecology and Evolutionary Biology,1.12,2019-2020,2nd,,2,2019,24500,26000,0,0,26000,Biology,Biology,low,1500,1500,Rice University_Biology
1819,Clemson University (CU),Genetics,0.86,2016-2017,5th,,5,2016,18000,23000,0,0,23000,Biology,Biology,low,5000,5000,Clemson University CU_Biology
1820,Washington University in St. Louis (Wash U),Biology,1.48,2018-2019,1st,,1,2018,30500,30500,0,0,30500,Biology,Biology,low,0,0,Washington University in St. Louis Wash U_Biology
1822,University of Michigan - Ann Arbor (UM),Ecology and Evolutionary Biology,1.21,2019-2020,1st,,1,2019,27820,28000,0,0,28000,Biology,Biology,low,180,180,University of Michigan - Ann Arbor UM_Biology
1827,Rice University,Ecology and Evolutionary Biology,1.18,2019-2020,5th,,5,2019,25788,26500,0,0,26500,Biology,Biology,low,712,712,Rice University_Biology
1839,Northwestern University (NU),Computer Science,1.33,2019-2020,4th,,4,2019,32360,32760,0,0,32760,MathematicsAndComputer Science,MathematicsAndComputer Science,low,400,400,Northwestern University NU_MathematicsAndComputer Science
1841,Emory University,Business,1.46,2019-2020,1st,"Business PhD students get $35k on yearly basis out of which $912 needs to be paid towards various fee ($491-Fall sem, $421-Spring sem). Post taxes you receive about $2,489 per month.",1,2019,34088,35000,0,0,35000,BusinessAndManagement,BusinessAndManagement,low,912,912,Emory University_BusinessAndManagement
1842,University of Maryland - College Park (UMD),Communication ,0.6,2018-2019,5th,,5,2018,18000,0,18000,0,18000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Maryland - College Park UMD_LinguisticsAndCommunication
1844,University of Michigan - Ann Arbor (UM),Chemistry,1.39,2018-2019,1st,,1,2018,32000,32000,0,0,32000,Chemistry,Chemistry,low,0,0,University of Michigan - Ann Arbor UM_Chemistry
1848,University of Oklahoma (OU),Finance,1.39,2019-2020,2nd,"30k compensation, 2k of that is paid as a ""scholarship"" to pay for fees. ",2,2019,28000,30000,0,0,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,2000,2000,University of Oklahoma OU_MathematicsAndComputer Science
1853,University of Colorado - Boulder (UCB),Chemistry,1.15,2018-2019,1st,Fees are waived for 1st year,1,2018,29296,29296,0,0,29296,Chemistry,Chemistry,low,0,0,University of Colorado - Boulder UCB_Chemistry
1855,Washington State University (WSU),Political Science,0.66,2019-2020,2nd,,2,2019,12400,0,14400,0,14400,HistPolSoc,HistPolSoc,high,2000,2000,Washington State University WSU_HistPolSoc
1857,Yale University (YU),Chemistry ,1.46,2019-2020,1st,,1,2019,36000,36000,0,0,36000,Chemistry,Chemistry,low,0,0,Yale University YU_Chemistry
1858,Pennsylvania State University (Penn State),Philosophy,1.43,2019-2020,3rd,,3,2019,32100,0,30100,2000,32100,ArtsAndTheology,ArtsAndTheology,high,0,0,Pennsylvania State University Penn State_ArtsAndTheology
1859,University of Oregon (UO),English,0.06,2019-2020,2nd,,2,2019,1308,0,1308,0,1308,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Oregon UO_LinguisticsAndCommunication
1868,University of Pittsburgh,Mechanical Engineering,1.3,2019-2020,1st,,1,2019,26970,27000,0,0,27000,Engineering,Engineering,low,30,30,University of Pittsburgh_Engineering
1870,California Institute of Technology (Caltech),Mechanical engineering,1.85,2019-2020,5th,,5,2019,48000,48000,0,0,48000,Engineering,Engineering,low,0,0,California Institute of Technology Caltech_Engineering
1875,University of Oklahoma (OU),Communication,0.85,2018-2019,1st,,1,2018,17000,0,17000,0,17000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Oklahoma OU_LinguisticsAndCommunication
1880,University of Pennsylvania,Biology,1.33,2019-2020,1st,,1,2019,32000,32000,0,0,32000,Biology,Biology,low,0,0,University of Pennsylvania_Biology
1883,University of California - Davis (UCD),Chemistry,1.22,2018-2019,5th,"TA fees are required any quarter that you TA, approximatly 250 dollars each time",5,2018,29250,30000,0,0,30000,Chemistry,Chemistry,low,750,750,University of California - Davis UCD_Chemistry
1884,Massachusetts Institute of Technology (MIT),Chemistry,1.4,2018-2019,3rd,,3,2018,39056,39396,0,0,39396,Chemistry,Chemistry,low,340,340,Massachusetts Institute of Technology MIT_Chemistry
1887,Emory University,Chemistry,1.33,2018-2019,4th,,4,2018,30900,31500,0,0,31500,Chemistry,Chemistry,low,600,600,Emory University_Chemistry
1890,Duke University (DU),Chemistry,1.39,2019-2020,1st,,1,2019,31000,31000,0,0,31000,Chemistry,Chemistry,low,0,0,Duke University DU_Chemistry
1897,University of California - Berkeley,Chemical Engineering,1.3,2019-2020,2nd,,2,2019,36000,36000,0,0,36000,Engineering,Engineering,low,0,0,University of California - Berkeley_Engineering
1898,Massachusetts Institute of Technology (MIT),Physics,1.9,2019-2020,2nd,,2,2019,53000,55000,0,0,55000,PhysicsAndAstronomy,PhysicsAndAstronomy,low,2000,2000,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy
1901,Boston University (BU),Religion,0.79,2018-2019,2nd,,2,2018,22650,0,22650,0,22650,ArtsAndTheology,ArtsAndTheology,high,0,0,Boston University BU_ArtsAndTheology
1907,Arizona State University (ASU),Social Work,0.83,2018-2019,2nd,Approximate fees given. Fees depend on your employee status (GRA vs. staff) and cost of tuition over about 5k (which it always will be),2,2018,18500,20000,0,0,20000,HistPolSoc,HistPolSoc,low,1500,1500,Arizona State University ASU_HistPolSoc
1909,University of Pittsburgh,Psychology,1.4,2019-2020,1st,"end up getting 2000 a month after taxes, etc",1,2019,29000,29000,0,0,29000,HistPolSoc,HistPolSoc,low,0,0,University of Pittsburgh_HistPolSoc
1912,University of Southern California (USC),Economics,1.15,2019-2020,1st,,1,2019,29800,0,30000,0,30000,BusinessAndManagement,BusinessAndManagement,high,200,200,University of Southern California USC_BusinessAndManagement
1913,University of Southern California (USC),Economics,1.15,2018-2019,1st,,1,2018,29800,30000,0,0,30000,BusinessAndManagement,BusinessAndManagement,low,200,200,University of Southern California USC_BusinessAndManagement
1914,Oregon State University (OSU),Electrical Engineering,1.15,2019-2020,1st,,1,2019,24088,0,18441,6147,24588,Engineering,Engineering,high,500,500,Oregon State University OSU_Engineering
1915,Pennsylvania State University (Penn State),Economics,1.29,2018-2019,1st,Gross 28890-Net about 25000 per year. No summer funding,1,2018,28890,0,28890,0,28890,BusinessAndManagement,BusinessAndManagement,high,0,0,Pennsylvania State University Penn State_BusinessAndManagement
1918,Rice University,Economics,1.24,2018-2019,1st,They charge you 700 USD  in stupid fees and you have to pay 33% of your health insurance.,1,2018,27000,27000,0,0,27000,BusinessAndManagement,BusinessAndManagement,low,0,0,Rice University_BusinessAndManagement
1920,University of Oklahoma (OU),Finance,1.29,2018-2019,2nd,,2,2018,26000,30000,0,0,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,4000,4000,University of Oklahoma OU_MathematicsAndComputer Science
1926,Stanford University (SU),Statistics,1.5,2019-2020,1st,,1,2019,43000,43000,0,0,43000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,Stanford University SU_MathematicsAndComputer Science
1927,Washington University in St. Louis (Wash U),Computer Science,1.45,2019-2020,1st,,1,2019,30000,0,30000,0,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,Washington University in St. Louis Wash U_MathematicsAndComputer Science
1929,Purdue University - West Lafayette,Sociology,1.14,2018-2019,3rd,"In addition to fees paid over $45 a month for healthcare coverage for the 18-19 academic year. This year, I paid over $1,000 for health coverage for the 19-20 academic year.",3,2018,24151,24896,0,0,24896,HistPolSoc,HistPolSoc,low,745,745,Purdue University - West Lafayette_HistPolSoc
1930,University of Florida (UF),Biomedical Engineering,1.32,2018-2019,1st,,1,2018,30000,30000,0,0,30000,Engineering,Engineering,low,0,0,University of Florida UF_Engineering
1931,Massachusetts Institute of Technology (MIT),Mechanical Engineering,1.41,2019-2020,1st,,1,2019,39396,39396,0,0,39396,Engineering,Engineering,low,0,0,Massachusetts Institute of Technology MIT_Engineering
1932,University of Michigan - Ann Arbor (UM),Aerospace Engineering,1.42,2019-2020,1st,Free healthcare,1,2019,32700,32700,0,0,32700,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering
1935,University of Maryland - College Park (UMD),Computer Science,1.01,2018-2019,3rd,Fall and Spring 22 biweekly checks. Summer 4 biweekly checks. Also summer rates vary. ,3,2018,30402,0,22971,8353,31324,MathematicsAndComputer Science,MathematicsAndComputer Science,high,922,922,University of Maryland - College Park UMD_MathematicsAndComputer Science
1936,University at Buffalo - SUNY,Music,0.83,2018-2019,2nd,,2,2018,17500,20000,0,0,20000,ArtsAndTheology,ArtsAndTheology,low,2500,2500,University at Buffalo - SUNY_ArtsAndTheology
1937,University at Buffalo - SUNY,Geography,0.81,2018-2019,2nd,,2,2018,17000,20000,0,0,20000,Geography,Geography,low,3000,3000,University at Buffalo - SUNY_Geography
1939,Oklahoma State University (OSU),Sociology,0.1,2019-2020,3rd,,3,2019,1862,0,1862,0,1862,HistPolSoc,HistPolSoc,low,0,0,Oklahoma State University OSU_HistPolSoc
1943,Oregon State University (OSU),Statistics,0.83,2019-2020,1st,,1,2019,17400,0,18000,0,18000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,600,600,Oregon State University OSU_MathematicsAndComputer Science
1944,Case Western Reserve University,Biomedical Engineering,1.55,2018-2019,1st,"Tiered system. Next year will increase by $500, If complete all course requirements and pass qual, increase by another $1000. Can go up to $34000 in 3rd & 4th year if you publish papers.",1,2018,31000,31000,0,0,31000,Engineering,Engineering,low,0,0,Case Western Reserve University_Engineering
1946,University of Florida (UF),Biology,0.98,2019-2020,1st,,1,2019,22263,23000,0,0,23000,Biology,Biology,low,737,737,University of Florida UF_Biology
1948,Harvard University (HU),Government,1.26,2019-2020,2nd,,2,2019,36000,36000,0,0,36000,HistPolSoc,HistPolSoc,low,0,0,Harvard University HU_HistPolSoc
1949,Columbia University (CU),English,1.15,2019-2020,1st,,1,2019,34116,34116,0,0,34116,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,Columbia University CU_LinguisticsAndCommunication
1950,Johns Hopkins University (JHU),Neuroscience,1.3,2019-2020,2nd,"Fees, Health and Dental also paid separately by department ",2,2019,33551,33551,0,0,33551,Medical,Medical,low,0,0,Johns Hopkins University JHU_Medical
1953,Yale University (YU),Psychology,1.04,2018-2019,3rd,,3,2018,25600,0,21600,4800,26400,HistPolSoc,HistPolSoc,high,800,800,Yale University YU_HistPolSoc
1957,University of Houston (UH),Psychology ,0.96,2018-2019,5th,,5,2018,21000,21000,0,0,21000,HistPolSoc,HistPolSoc,low,0,0,University of Houston UH_HistPolSoc
1961,University of Houston (UH),Computer Science,1.01,2019-2020,6th and up,,6,2019,22000,22000,0,0,22000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Houston UH_MathematicsAndComputer Science
1962,University of Houston (UH),Computer Science ,0.1,2019-2020,6th and up,,6,2019,2200,2200,0,0,2200,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Houston UH_MathematicsAndComputer Science
1966,Pennsylvania State University (Penn State),Biostatistics,1.36,2019-2020,4th,"Includes Summer Stipend of $ 7,602.00 for June and July",4,2019,30462,30462,0,0,30462,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,Pennsylvania State University Penn State_MathematicsAndComputer Science
1968,Duke University (DU),Chemistry,1.37,2019-2020,1st,,1,2019,30453,30453,0,0,30453,Chemistry,Chemistry,low,0,0,Duke University DU_Chemistry
1971,University of Central Florida (UCF),Biology,0.76,2019-2020,4th,Teaching Assistant. 9 month appointment. No summer funding for TAs.,4,2019,17600,0,19000,0,19000,Biology,Biology,high,1400,1400,University of Central Florida UCF_Biology
1974,CUNY Graduate School and University Center,Musicology,0.84,2018-2019,2nd,"$2000 is given as a summer grant; about half of the remainder is given as a grant in each semester, while the other half is paid out through the year as income.",2,2018,25000,25000,0,0,25000,ArtsAndTheology,ArtsAndTheology,low,0,0,CUNY Graduate School and University Center_ArtsAndTheology
1976,University of Connecticut (UConn),English,0.98,2018-2019,2nd,,2,2018,23837,0,23837,0,23837,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Connecticut UConn_LinguisticsAndCommunication
1978,University of California - Los Angeles (UCLA),Education,1.04,2018-2019,1st,"50% TA/GSR, summer mentorship",1,2018,27000,0,21000,6000,27000,Education,Education,high,0,0,University of California - Los Angeles UCLA_Education
1981,University of California - Irvine (UCI),Pharmaceutical Sciences,1.03,2019-2020,1st,,1,2019,30000,30000,0,0,30000,Medical,Medical,low,0,0,University of California - Irvine UCI_Medical
1982,Brown University,Political Science,1.48,2019-2020,3rd,,3,2019,33676,33676,0,0,33676,HistPolSoc,HistPolSoc,low,0,0,Brown University_HistPolSoc
1984,North Carolina State University (NCSU),Mechanical engineering,0.84,2018-2019,1st,,1,2018,19200,19200,0,0,19200,Engineering,Engineering,low,0,0,North Carolina State University NCSU_Engineering
1988,University of California - Riverside (UCR),political science,0.87,2019-2020,1st,,1,2019,21000,0,21000,0,21000,HistPolSoc,HistPolSoc,high,0,0,University of California - Riverside UCR_HistPolSoc
1989,Washington University in St. Louis (Wash U),Computer Science,1.4,2018-2019,2nd,"Fellowship, no RA/TA requirement at this point. Medical Insurance compensated in the stipend.",2,2018,29000,32000,0,0,32000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,3000,3000,Washington University in St. Louis Wash U_MathematicsAndComputer Science
2000,University of California - Los Angeles (UCLA),psychology,1.04,2019-2020,1st,,1,2019,26944,27000,0,0,27000,HistPolSoc,HistPolSoc,low,56,56,University of California - Los Angeles UCLA_HistPolSoc
2010,Brown University,Sociology,1.23,2019-2020,3rd,,3,2019,28000,28000,0,0,28000,HistPolSoc,HistPolSoc,low,0,0,Brown University_HistPolSoc
2011,Emory University,Chemistry,1.72,2018-2019,1st,,1,2018,40100,41000,0,0,41000,Chemistry,Chemistry,low,900,900,Emory University_Chemistry
2014,University of Minnesota - Twin Cities (UM),Economics,0.73,2019-2020,1st,"After taxes and fees it is about 14000 for the year. First year there is an extra 5000 fellowship for everyone, but only given next year",1,2019,16700,0,18000,0,18000,BusinessAndManagement,BusinessAndManagement,high,1300,1300,University of Minnesota - Twin Cities UM_BusinessAndManagement
2015,Florida State University (FSU),Religion,0.63,2019-2020,1st,,1,2019,14800,0,16000,0,16000,ArtsAndTheology,ArtsAndTheology,high,1200,1200,Florida State University FSU_ArtsAndTheology
2020,Northwestern University (NU),Computer Science,1.33,2018-2019,2nd,,2,2018,32344,32844,0,0,32844,MathematicsAndComputer Science,MathematicsAndComputer Science,low,500,500,Northwestern University NU_MathematicsAndComputer Science
2026,University of California - Los Angeles (UCLA),Ecology and Evolutionary Biology,1.08,2018-2019,3rd,,3,2018,28000,28000,0,0,28000,Biology,Biology,low,0,0,University of California - Los Angeles UCLA_Biology
2029,University of Minnesota - Twin Cities (UM),Social Work,0.61,2018-2019,4th,,4,2018,14000,0,16000,0,16000,HistPolSoc,HistPolSoc,high,2000,2000,University of Minnesota - Twin Cities UM_HistPolSoc
2031,University of Michigan - Ann Arbor (UM),Physics,1.41,2019-2020,1st,"It's comfortable enough to live on the stipend. Mandatory fees of $80 per semester. One of the best health insurance included as benefits. For the first two semesters, 25% TA is required and department matches the other 25% with a fellowship.",1,2019,32600,32760,0,0,32760,PhysicsAndAstronomy,PhysicsAndAstronomy,low,160,160,University of Michigan - Ann Arbor UM_PhysicsAndAstronomy
2032,University of Michigan - Ann Arbor (UM),Physics,0.12,2019-2020,1st,"It's comfortable enough to live on the stipend. Mandatory fees of $80 per semester. One of the best health insurance included as benefits. For the first two semesters, 25%  TA is required and department matches the other 25% with a fellowship. ",1,2019,2730,2730,0,0,2730,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,University of Michigan - Ann Arbor UM_PhysicsAndAstronomy
2036,Stony Brook University - SUNY,Computer Science,1.0,2018-2019,1st,,1,2018,28000,0,20000,10000,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,2000,2000,Stony Brook University - SUNY_MathematicsAndComputer Science
2038,Stanford University (SU),Civil and Environmental Engineering,1.52,2018-2019,6th and up,,6,2018,43556,0,32868,10956,43824,Engineering,Engineering,high,268,268,Stanford University SU_Engineering
2040,University of Missouri (MU),English,0.4,2019-2020,1st,,1,2019,8300,0,8900,0,8900,LinguisticsAndCommunication,LinguisticsAndCommunication,high,600,600,University of Missouri MU_LinguisticsAndCommunication
2051,University of Kansas (KU),English ,0.88,2018-2019,6th and up,,6,2018,18000,0,18000,0,18000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Kansas KU_LinguisticsAndCommunication
2061,University of Michigan - Ann Arbor (UM),Computer Science,1.3,2018-2019,2nd,health and other fees paid by the institution. ,2,2018,30067,30067,0,0,30067,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Michigan - Ann Arbor UM_MathematicsAndComputer Science
2067,University of Connecticut (UConn),Finance,0.99,2018-2019,1st,,1,2018,24000,24000,0,0,24000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Connecticut UConn_MathematicsAndComputer Science
2068,University of California - Berkeley,Chemistry,1.24,2019-2020,3rd,,3,2019,34360,34360,0,0,34360,Chemistry,Chemistry,low,0,0,University of California - Berkeley_Chemistry
2069,Yale University (YU),Anthropology,1.29,2019-2020,3rd,Does not include summer funding,3,2019,31800,31800,0,0,31800,Biology,Biology,low,0,0,Yale University YU_Biology
2070,University of Houston (UH),Psychology,0.82,2018-2019,4th,,4,2018,17880,17880,0,0,17880,HistPolSoc,HistPolSoc,low,0,0,University of Houston UH_HistPolSoc
2071,Indiana University,Psychology,1.06,2019-2020,1st,,1,2019,22900,0,24500,0,24500,HistPolSoc,HistPolSoc,high,1600,1600,Indiana University_HistPolSoc
2084,Yale University (YU),Biomedical Engineering,1.42,2018-2019,5th,,5,2018,35000,35000,0,0,35000,Engineering,Engineering,low,0,0,Yale University YU_Engineering
2089,University of Utah,Chemistry,1.28,2018-2019,6th and up,,6,2018,28500,28500,0,0,28500,Chemistry,Chemistry,low,0,0,University of Utah_Chemistry
2094,Pennsylvania State University (Penn State),Biology,1.34,2018-2019,1st,,1,2018,30000,0,30000,0,30000,Biology,Biology,high,0,0,Pennsylvania State University Penn State_Biology
2095,CUNY Graduate School and University Center,chemistry,0.84,2015-2016,1st,,1,2015,25000,25000,0,0,25000,Chemistry,Chemistry,low,0,0,CUNY Graduate School and University Center_Chemistry
2096,University of Pittsburgh,Chemistry,0.14,2018-2019,2nd,Fee is for health insurance every month. If you are still on your parents you could opt out of it.,2,2018,2907,3312,0,0,3312,Chemistry,Chemistry,low,405,405,University of Pittsburgh_Chemistry
2100,University of Hawaii - Manoa (UH),Earth Science,0.89,2018-2019,2nd,,2,2018,27126,28026,0,0,28026,Geography,Geography,low,900,900,University of Hawaii - Manoa UH_Geography
2102,University of California - Los Angeles (UCLA),Mechanical and Aerospace Engineering,1.03,2018-2019,3rd,,3,2018,26548,26998,0,0,26998,Engineering,Engineering,low,450,450,University of California - Los Angeles UCLA_Engineering
2103,Carnegie Mellon University (CMU),Electrical and Computer Engineering,1.74,2019-2020,1st,,1,2019,36000,36000,0,0,36000,Engineering,Engineering,low,0,0,Carnegie Mellon University CMU_Engineering
2106,Emory University,Chemistry,1.34,2019-2020,4th,,4,2019,31100,31500,0,0,31500,Chemistry,Chemistry,low,400,400,Emory University_Chemistry
2108,University of Houston (UH),Chemical Engineering,1.19,2019-2020,4th,,4,2019,26000,26000,0,0,26000,Engineering,Engineering,low,0,0,University of Houston UH_Engineering
2109,University of Wisconsin - Madison (UW),Biochemistry,1.27,2018-2019,1st,,1,2018,29000,29000,0,0,29000,Chemistry,Chemistry,low,0,0,University of Wisconsin - Madison UW_Chemistry
2110,University of Tennessee - Knoxville,Mechanical Engineering,1.1,2018-2019,1st,,1,2018,23400,25000,0,0,25000,Engineering,Engineering,low,1600,1600,University of Tennessee - Knoxville_Engineering
2113,University of Michigan - Ann Arbor (UM),Chemistry ,1.32,2011-2012,1st,,1,2011,26000,26000,0,0,26000,Chemistry,Chemistry,low,0,0,University of Michigan - Ann Arbor UM_Chemistry
2114,University of California - Los Angeles (UCLA),Chemical Engineering,1.2,2018-2019,3rd,"Last submission was wrong, meant to put 31k not 3.1k",3,2018,31000,31000,0,0,31000,Engineering,Engineering,low,0,0,University of California - Los Angeles UCLA_Engineering
2115,University of California - Los Angeles (UCLA),Chemical Engineering,0.12,2018-2019,3rd,,3,2018,3100,3100,0,0,3100,Engineering,Engineering,low,0,0,University of California - Los Angeles UCLA_Engineering
2122,Georgia Institute of Technology (Georgia Tech),Mathematics,0.91,2019-2020,1st,,1,2019,21200,22600,0,0,22600,MathematicsAndComputer Science,MathematicsAndComputer Science,low,1400,1400,Georgia Institute of Technology Georgia Tech_MathematicsAndComputer Science
2124,Massachusetts Institute of Technology (MIT),Chemistry ,0.11,2018-2019,1st,,1,2018,3025,3200,0,0,3200,Chemistry,Chemistry,low,175,175,Massachusetts Institute of Technology MIT_Chemistry
2125,University of California - Berkeley,biology,1.37,2018-2019,1st,,1,2018,38000,38000,0,0,38000,Biology,Biology,low,0,0,University of California - Berkeley_Biology
2127,Purdue University - West Lafayette,Chemistry,1.13,2018-2019,1st,,1,2018,23830,24500,0,0,24500,Chemistry,Chemistry,low,670,670,Purdue University - West Lafayette_Chemistry
2128,University of Chicago (UC),Economics,1.68,2019-2020,2nd,$38k + $4k Summer. Health insurance included.,2,2019,40752,42000,0,0,42000,BusinessAndManagement,BusinessAndManagement,low,1248,1248,University of Chicago UC_BusinessAndManagement
2130,Rutgers the State University of New Jersey - New Brunswick,Sociology,0.81,2018-2019,1st,,1,2018,21000,21000,0,0,21000,HistPolSoc,HistPolSoc,low,0,0,Rutgers the State University of New Jersey - New Brunswick_HistPolSoc
2132,Clemson University (CU),Civil Engineering,1.01,2018-2019,3rd,,3,2018,21000,21000,0,0,21000,Engineering,Engineering,low,0,0,Clemson University CU_Engineering
2133,University of Florida (UF),Plant Pathology,1.22,2018-2019,3rd,,3,2018,27756,28506,0,0,28506,Biology,Biology,low,750,750,University of Florida UF_Biology
2134,Colorado State University (CSU),Chemistry,1.11,2019-2020,1st,,1,2019,25000,25000,0,0,25000,Chemistry,Chemistry,low,0,0,Colorado State University CSU_Chemistry
2137,University of Minnesota - Twin Cities (UM),Neuroscience,1.27,2019-2020,1st,,1,2019,29000,30000,0,0,30000,Medical,Medical,low,1000,1000,University of Minnesota - Twin Cities UM_Medical
2141,University of Pennsylvania,Neuroscience,1.41,2018-2019,1st,,1,2018,34000,34000,0,0,34000,Medical,Medical,low,0,0,University of Pennsylvania_Medical
2142,University of Texas - Austin (UT),Mechanical Engineering,0.09,2019-2020,1st,,1,2019,1958,0,1958,0,1958,Engineering,Engineering,low,0,0,University of Texas - Austin UT_Engineering
2143,Stanford University (SU),Biophysics,0.93,2019-2020,1st,,1,2019,26839,43824,0,0,43824,PhysicsAndAstronomy,PhysicsAndAstronomy,low,16985,16985,Stanford University SU_PhysicsAndAstronomy
2145,Drexel University (DU),Chemical Engineering,1.2,2019-2020,1st,,1,2019,29000,29000,0,0,29000,Engineering,Engineering,low,0,0,Drexel University DU_Engineering
2149,University of Southern California (USC),Linguistics,1.15,2019-2020,2nd,,2,2019,29850,0,30000,0,30000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,150,150,University of Southern California USC_LinguisticsAndCommunication
