,University,Department,LW_Ratio,Academic_Year,Program_Year,Comments,PY_DR,Acad_Y,Overall_Pay_num,GrossPay_12M,GrossPay_9M,GrossPay_3M,GrossPay_sumOf3,Dep_DR,Dep_DR_top14,GP9_binary,MissingFees_DR,Fees_correct,uni_and_dept,Overall_Pay_corr,Fees_corr,Dep_LeftRight
269,Drexel University (DU),Chemistry ,0.97,2019-2020,3rd,,3,2019,23500,23500,0,0,23500,Chemistry,Chemistry,low,0,0,Drexel University DU_Chemistry,24226.80412371134,0.0,0
270,Massachusetts Institute of Technology (MIT),Mechanical Engineering,1.41,2019-2020,4th,,4,2019,39346,39516,0,0,39516,Engineering,Engineering,low,170,170,Massachusetts Institute of Technology MIT_Engineering,27904.964539007095,120.56737588652483,0
271,Georgia Institute of Technology (Georgia Tech),Materials Science and Engineering,1.17,2019-2020,4th,,4,2019,27252,27252,0,0,27252,Engineering,Engineering,low,0,0,Georgia Institute of Technology Georgia Tech_Engineering,23292.307692307695,0.0,0
272,Georgia Institute of Technology (Georgia Tech),Materials Science and Engineering,1.05,2019-2020,4th,,4,2019,24377,27252,0,0,27252,Engineering,Engineering,low,2875,2875,Georgia Institute of Technology Georgia Tech_Engineering,23216.190476190473,2738.095238095238,0
273,Arizona State University (ASU),Psychology,1.05,2018-2019,3rd,,3,2018,23400,24000,0,0,24000,HistPolSoc,HistPolSoc,low,600,600,Arizona State University ASU_HistPolSoc,22285.714285714286,571.4285714285714,1
274,University of Southern California (USC),Communication,1.31,2019-2020,2nd,,2,2019,34000,34000,0,0,34000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,University of Southern California USC_LinguisticsAndCommunication,25954.198473282442,0.0,1
275,Duke University (DU),Biology,1.21,2017-2018,2nd,,2,2017,27000,0,21500,5500,27000,Biology,Biology,high,0,0,Duke University DU_Biology,22314.04958677686,0.0,0
276,North Carolina State University (NCSU),Mechanical and Aerospace Engineering,1.28,2018-2019,1st,1st year recruitment fellowship,1,2018,29250,30000,0,0,30000,Engineering,Engineering,low,750,750,North Carolina State University NCSU_Engineering,22851.5625,585.9375,0
277,Drexel University (DU),chemistry,0.97,2018-2019,3rd,,3,2018,23500,23500,0,0,23500,Chemistry,Chemistry,low,0,0,Drexel University DU_Chemistry,24226.80412371134,0.0,0
278,Cornell University (CU),Biomedical Engineering,1.65,2018-2019,1st,"Base is $35,000. But I got an internal fellowship that granted me $40,000. ",1,2018,40000,40000,0,0,40000,Engineering,Engineering,low,0,0,Cornell University CU_Engineering,24242.424242424244,0.0,0
279,University of Pittsburgh,Political Science,0.99,2019-2020,2nd,,2,2019,20440,20500,0,0,20500,HistPolSoc,HistPolSoc,low,60,60,University of Pittsburgh_HistPolSoc,20646.464646464647,60.60606060606061,1
280,North Carolina State University (NCSU),Electrical and Computer Engineering,0.8,2018-2019,1st,,1,2018,18200,18200,0,0,18200,Engineering,Engineering,low,0,0,North Carolina State University NCSU_Engineering,22750.0,0.0,0
281,Princeton University,Art History,1.36,2019-2020,1st,Additional summer funding after 1st and 2nd years $2500; fund for books and course research,1,2019,34500,34500,0,0,34500,ArtsAndTheology,ArtsAndTheology,low,0,0,Princeton University_ArtsAndTheology,25367.647058823528,0.0,1
282,University of Maryland - College Park (UMD),Chemical and Biomolecular Engineering,1.09,2019-2020,2nd,An increase in pay occurs upon passing the qualifying exam (RAE) and entering the second year. Cost of living adjustments ~3% were also administered through the first year.,2,2019,32848,33750,0,0,33750,Engineering,Engineering,low,902,902,University of Maryland - College Park UMD_Engineering,30135.77981651376,827.5229357798164,0
283,University of Colorado - Boulder (UCB),Aerospace Engineering,0.82,2019-2020,1st,,1,2019,21000,0,23000,0,23000,Engineering,Engineering,high,2000,2000,University of Colorado - Boulder UCB_Engineering,25609.756097560978,2439.0243902439024,0
284,Clemson University (CU),Bioengineering,0.79,2018-2019,1st,,1,2018,16400,20000,0,0,20000,Engineering,Engineering,low,3600,3600,Clemson University CU_Engineering,20759.493670886073,4556.962025316456,0
285,Clemson University (CU),Bioengineering,0.9,2018-2019,1st,,1,2018,18777,20000,0,0,20000,Engineering,Engineering,low,1223,1223,Clemson University CU_Engineering,20863.333333333332,1358.888888888889,0
286,University of Wisconsin - Madison (UW),Statistics,0.81,2018-2019,1st,,1,2018,18600,0,20000,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,high,1400,1400,University of Wisconsin - Madison UW_MathematicsAndComputer Science,22962.96296296296,1728.395061728395,0
287,University of Wisconsin - Madison (UW),Statistics,0.81,2018-2019,1st,,1,2018,18600,20000,0,0,20000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,1400,1400,University of Wisconsin - Madison UW_MathematicsAndComputer Science,22962.96296296296,1728.395061728395,0
288,Purdue University - West Lafayette,Biomedical Engineering,1.15,2018-2019,2nd,,2,2018,24350,26500,0,0,26500,Engineering,Engineering,low,2150,2150,Purdue University - West Lafayette_Engineering,21173.913043478264,1869.5652173913045,0
289,Indiana University,Psychology,1.06,2018-2019,4th,,4,2018,22800,23000,0,0,23000,HistPolSoc,HistPolSoc,low,200,200,Indiana University_HistPolSoc,21509.43396226415,188.67924528301887,1
290,Duke University (DU),Bioengineering,1.34,2018-2019,3rd,,3,2018,29700,30000,0,0,30000,Engineering,Engineering,low,300,300,Duke University DU_Engineering,22164.17910447761,223.88059701492537,0
291,University of California - Los Angeles (UCLA),biology,1.62,2018-2019,1st,,1,2018,42000,42000,0,0,42000,Biology,Biology,low,0,0,University of California - Los Angeles UCLA_Biology,25925.925925925923,0.0,0
292,University of California - Los Angeles (UCLA),Electrical Engineering,1.08,2019-2020,1st,,1,2019,28000,33000,0,0,33000,Engineering,Engineering,low,5000,5000,University of California - Los Angeles UCLA_Engineering,25925.925925925923,4629.62962962963,0
293,University of North Carolina - Chapel Hill (UNC),Biomedical Engineering,1.69,2019-2020,1st,5000 bonus first year,1,2019,37500,37500,0,0,37500,Engineering,Engineering,low,0,0,University of North Carolina - Chapel Hill UNC_Engineering,22189.349112426036,0.0,0
294,Duke University (DU),Public Policy,1.12,2019-2020,1st,,1,2019,25000,0,25000,0,25000,HistPolSoc,HistPolSoc,high,0,0,Duke University DU_HistPolSoc,22321.42857142857,0.0,1
295,Massachusetts Institute of Technology (MIT),Physics,1.44,2019-2020,4th,"All students in the department receive the same salary ($3361/month) and the Student Extended Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. ",4,2019,40331,40331,0,0,40331,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Massachusetts Institute of Technology MIT_PhysicsAndAstronomy,28007.63888888889,0.0,0
296,University of Illinois - Urbana- Champaign (UIUC),English,1.08,2018-2019,1st,"Because I'm on fellowship, I'm not teaching, and I have summer funding; this is unusual in my department. My colleagues teach 2 classes per semester and only have 9 months of funding for a similar monthly paycheck.",1,2018,23800,25000,0,0,25000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,1200,1200,University of Illinois - Urbana- Champaign UIUC_LinguisticsAndCommunication,22037.037037037036,1111.111111111111,1
297,Northwestern University (NU),Psychology,0.11,2019-2020,1st,,1,2019,2737,2737,0,0,2737,HistPolSoc,HistPolSoc,low,0,0,Northwestern University NU_HistPolSoc,24881.81818181818,0.0,1
298,University of Southern California (USC),Mathematics,1.28,2019-2020,3rd,"30,000 salary + 3,000 summer fellowship. If you teach in summer,  you get 6,000-9,000 for 6 weeks of summer. 
Health+Dental insurance + Gym membership. Some students save up to $20,000/per year. ",3,2019,33000,33000,0,0,33000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Southern California USC_MathematicsAndComputer Science,25781.25,0.0,0
299,University of Southern California (USC),Mathematics,1.27,2019-2020,3rd,"30,000 salary + 3,000 summer fellowship. If you teach in summer,  you get 6,000-9,000 for 6 weeks of summer. 
Health+Dental insurance + Gym membership. Some students save up to $20,000/per year. ",3,2019,32952,33000,0,0,33000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,48,48,University of Southern California USC_MathematicsAndComputer Science,25946.456692913387,37.79527559055118,0
300,University of Virginia (UVA),History,0.88,2018-2019,4th,,4,2018,20000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,0,0,University of Virginia UVA_HistPolSoc,22727.272727272728,0.0,1
302,University of Illinois - Urbana- Champaign (UIUC),Psychology ,1.27,2018-2019,5th,,5,2018,28000,52000,0,0,52000,HistPolSoc,HistPolSoc,low,24000,24000,University of Illinois - Urbana- Champaign UIUC_HistPolSoc,22047.24409448819,18897.63779527559,1
303,Emory University,English,1.85,2019-2020,2nd,,2,2019,43000,43000,0,0,43000,LinguisticsAndCommunication,LinguisticsAndCommunication,low,0,0,Emory University_LinguisticsAndCommunication,23243.243243243243,0.0,1
304,Georgia Institute of Technology (Georgia Tech),Mechanical Engineering,1.02,2018-2019,3rd,,3,2018,23700,26400,0,0,26400,Engineering,Engineering,low,2700,2700,Georgia Institute of Technology Georgia Tech_Engineering,23235.29411764706,2647.0588235294117,0
305,University of Wisconsin - Madison (UW),Sociology,0.82,2018-2019,2nd,,2,2018,18800,20000,0,0,20000,HistPolSoc,HistPolSoc,low,1200,1200,University of Wisconsin - Madison UW_HistPolSoc,22926.829268292684,1463.4146341463415,1
306,University of Chicago (UC),Psychology,1.22,2019-2020,1st,"+$27,000 for ""Stipend""
+$4,000 for ""Summer Grant""
-$1,338 for ""Student Services Fee""",1,2019,29662,31000,0,0,31000,HistPolSoc,HistPolSoc,low,1338,1338,University of Chicago UC_HistPolSoc,24313.114754098362,1096.72131147541,1
307,Temple University (TU),Psychology,1.08,2019-2020,1st,$200 Student Activities Fee,1,2019,26100,0,19739,6561,26300,HistPolSoc,HistPolSoc,high,200,200,Temple University TU_HistPolSoc,24166.666666666664,185.18518518518516,1
308,Virginia Tech,Electrical and Computer Engineering,1.12,2018-2019,2nd,,2,2018,23540,26040,0,0,26040,Engineering,Engineering,low,2500,2500,Virginia Tech_Engineering,21017.85714285714,2232.142857142857,0
309,University of Virginia (UVA),Biomedical Engineering,1.4,2019-2020,1st,,1,2019,32000,32000,0,0,32000,Engineering,Engineering,low,0,0,University of Virginia UVA_Engineering,22857.14285714286,0.0,0
310,Columbia University (CU),Sociology,1.11,2018-2019,1st,,1,2018,32972,0,29350,3772,33122,HistPolSoc,HistPolSoc,high,150,150,Columbia University CU_HistPolSoc,29704.5045045045,135.13513513513513,1
311,Duke University (DU),Biomedical Engineering ,1.43,2019-2020,1st,,1,2019,31800,31800,0,0,31800,Engineering,Engineering,low,0,0,Duke University DU_Engineering,22237.76223776224,0.0,0
312,University of Texas - Dallas (UTD),Electrical Engineering,1.08,2018-2019,2nd,$1950 per month after passing Qualifying Exam and $1850 before QE.,2,2018,23400,23400,0,0,23400,Engineering,Engineering,low,0,0,University of Texas - Dallas UTD_Engineering,21666.666666666664,0.0,0
313,New York University (NYU),Social Work,1.01,2018-2019,4th,,4,2018,30000,0,30000,0,30000,HistPolSoc,HistPolSoc,high,0,0,New York University NYU_HistPolSoc,29702.970297029704,0.0,1
314,University of North Carolina - Chapel Hill (UNC),Public Policy,1.53,2018-2019,2nd,"NSF GRFP fellowship. I have been told that the graduate school policy is to not allow compensation above the NSF GRFP stipend, though research travel funds or research supply funds could be sought in addition to the maximum stipend. ",2,2018,34000,34000,0,0,34000,HistPolSoc,HistPolSoc,low,0,0,University of North Carolina - Chapel Hill UNC_HistPolSoc,22222.222222222223,0.0,1
315,Georgia Institute of Technology (Georgia Tech),Biomedical Engineering ,1.76,2018-2019,1st,"NSF GRFP + $5,000 Centennial Scholar + $2,000 topper funds ",1,2018,41000,41000,0,0,41000,Engineering,Engineering,low,0,0,Georgia Institute of Technology Georgia Tech_Engineering,23295.454545454544,0.0,0
316,University of South Carolina (USC),Chemistry,0.09,2018-2019,1st,,1,2018,2000,2400,0,0,2400,Chemistry,Chemistry,low,400,400,University of South Carolina USC_Chemistry,22222.222222222223,4444.444444444444,0
317,Yale University (YU),sociology,1.29,2018-2019,3rd,,3,2018,32000,32000,0,0,32000,HistPolSoc,HistPolSoc,low,0,0,Yale University YU_HistPolSoc,24806.201550387595,0.0,1
318,University of California - Berkeley,Sociology,1.28,2018-2019,1st,"Received University fellowship, which is $13,000 each semester and then $4,500 for the summer. Also received $5,000 summer GSR. Funding drops to between $30,500 and $33,500 (some years with travel funding, others without) for the next 3 years. ",1,2018,35500,35500,0,0,35500,HistPolSoc,HistPolSoc,low,0,0,University of California - Berkeley_HistPolSoc,27734.375,0.0,1
319,Pennsylvania State University (Penn State),Political Science,1.31,2018-2019,1st,,1,2018,29400,0,26150,3250,29400,HistPolSoc,HistPolSoc,high,0,0,Pennsylvania State University Penn State_HistPolSoc,22442.74809160305,0.0,1
320,Drexel University (DU),Physics,0.97,2018-2019,3rd,"Drexel guarantees the physics graduate students 6 years of funding as a teaching assistant, including tuition, health insurance, and the $23,500 stipend. Cost of living in the city is expensive, so this is just barely enough to live on, especially if you live alone.",3,2018,23500,23500,0,0,23500,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Drexel University DU_PhysicsAndAstronomy,24226.80412371134,0.0,0
321,University of Pittsburgh,History,0.89,2017-2018,6th and up,,6,2017,18500,18500,0,0,18500,HistPolSoc,HistPolSoc,low,0,0,University of Pittsburgh_HistPolSoc,20786.516853932582,0.0,1
322,University of California - Los Angeles (UCLA),Sociology,1.08,2019-2020,1st,"24k for academic year, 4k-6k for summer funding depending on award. Fellowship years 1 and 5, TA/RA other years. ",1,2019,28000,28000,0,0,28000,HistPolSoc,HistPolSoc,low,0,0,University of California - Los Angeles UCLA_HistPolSoc,25925.925925925923,0.0,1
323,Vanderbilt University,Political Science,1.31,2018-2019,1st,"9-month stipend $27,000, additional RA for three summer-months, approximately $1,000/month. Ignore my last post ",1,2018,30000,0,27000,3000,30000,HistPolSoc,HistPolSoc,high,0,0,Vanderbilt University_HistPolSoc,22900.763358778626,0.0,1
324,Northwestern University (NU),Chemistry,1.48,2018-2019,4th,NSF GRFP Fellowship base + additional bump from department. No required fees only because fees are paid by NSF.,4,2018,36000,36000,0,0,36000,Chemistry,Chemistry,low,0,0,Northwestern University NU_Chemistry,24324.324324324323,0.0,0
325,University of Minnesota - Twin Cities (UM),Psychology ,1.05,2019-2020,1st,,1,2019,24000,0,20000,4000,24000,HistPolSoc,HistPolSoc,high,0,0,University of Minnesota - Twin Cities UM_HistPolSoc,22857.142857142855,0.0,1
326,University of Illinois - Urbana- Champaign (UIUC),Sociology,0.74,2019-2020,1st,,1,2019,16280,0,17480,0,17480,HistPolSoc,HistPolSoc,high,1200,1200,University of Illinois - Urbana- Champaign UIUC_HistPolSoc,22000.0,1621.6216216216217,1
327,University of California - Berkeley,Chemistry,1.22,2019-2020,1st,,1,2019,34000,34000,0,0,34000,Chemistry,Chemistry,low,0,0,University of California - Berkeley_Chemistry,27868.852459016394,0.0,0
328,University of Southern California (USC),Biostatistics,1.35,2018-2019,1st,including all health insurance ,1,2018,35000,35000,0,0,35000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Southern California USC_MathematicsAndComputer Science,25925.925925925923,0.0,0
329,University of Southern California (USC),Biostatistics,1.31,2018-2019,4th,"including health insurance, dental, vision. Fellowship for the first year. ",4,2018,34000,34000,0,0,34000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of Southern California USC_MathematicsAndComputer Science,25954.198473282442,0.0,0
330,University of Illinois - Urbana- Champaign (UIUC),Linguistics,1.14,2019-2020,1st,"Illinois Distinguished Fellowship. 25k for each of 3 years, guaranteed TA/RA for other 2-3 years. Tuition waiver, partial health insurance",1,2019,25000,0,25000,0,25000,LinguisticsAndCommunication,LinguisticsAndCommunication,high,0,0,University of Illinois - Urbana- Champaign UIUC_LinguisticsAndCommunication,21929.82456140351,0.0,1
331,University of Texas - Austin (UT),Government,1.31,2019-2020,1st,"$27,000 is composed of a fellowship + TAing. $3000 summer funding is from a RAship.",1,2019,30000,0,27000,3000,30000,HistPolSoc,HistPolSoc,high,0,0,University of Texas - Austin UT_HistPolSoc,22900.763358778626,0.0,1
332,Purdue University - West Lafayette,Chemical Engineering,1.35,2018-2019,1st,$500 one-time moving stipend,1,2018,28500,31000,0,0,31000,Engineering,Engineering,low,2500,2500,Purdue University - West Lafayette_Engineering,21111.11111111111,1851.8518518518517,0
333,University of Michigan - Ann Arbor (UM),Chemical Engineering,1.4,2019-2020,1st,Medical Covered,1,2019,32200,32200,0,0,32200,Engineering,Engineering,low,0,0,University of Michigan - Ann Arbor UM_Engineering,23000.0,0.0,0
334,Yale University (YU),Political Science,1.21,2018-2019,5th,,5,2018,30000,30000,0,0,30000,HistPolSoc,HistPolSoc,low,0,0,Yale University YU_HistPolSoc,24793.388429752067,0.0,1
335,Stanford University (SU),mechanical engineering,1.5,2018-2019,2nd,,2,2018,43000,44000,0,0,44000,Engineering,Engineering,low,1000,1000,Stanford University SU_Engineering,28666.666666666668,666.6666666666666,0
336,University of Florida (UF),Microbiology,1.67,2018-2019,1st,"I'm on a good fellowship, so I get extra funding. Most are at 27,000",1,2018,38000,40000,0,0,40000,Biology,Biology,low,2000,2000,University of Florida UF_Biology,22754.491017964072,1197.6047904191616,0
337,University of Wisconsin - Madison (UW),Chemistry,1.12,2018-2019,1st,,1,2018,25600,0,27000,0,27000,Chemistry,Chemistry,high,1400,1400,University of Wisconsin - Madison UW_Chemistry,22857.142857142855,1249.9999999999998,0
338,University of Pennsylvania,Cell and Molecular Biology,1.41,2019-2020,1st,,1,2019,34000,34000,0,0,34000,Biology,Biology,low,0,0,University of Pennsylvania_Biology,24113.475177304965,0.0,0
339,Yale University (YU),Genetics,1.58,2018-2019,4th,,4,2018,39000,39000,0,0,39000,Biology,Biology,low,0,0,Yale University YU_Biology,24683.544303797466,0.0,0
340,Georgia Institute of Technology (Georgia Tech),Electrical Engineering,1.08,2019-2020,1st,,1,2019,25200,25200,0,0,25200,Engineering,Engineering,low,0,0,Georgia Institute of Technology Georgia Tech_Engineering,23333.333333333332,0.0,0
341,New York University (NYU),Anthropology,0.94,2019-2020,1st,,1,2019,28000,0,28000,0,28000,Biology,Biology,high,0,0,New York University NYU_Biology,29787.234042553195,0.0,0
342,Princeton University,Sociology,1.31,2018-2019,3rd,"$9,456.67 of stipend falls under taxable (and mandatory) AI wages. $19,121.32 was issued as unreported Academic year stipend, and the remaining $5,400 given as a summer stipend. Crucially, Princeton varies the level of summer support according to department. Technically we are required to report external fellowships, whose amount then gets deducted from our stipend. The idea, presumably, is to limit variation across grad students within the university, though in implementation this honor system may or may not work.",3,2018,33380,33977,0,0,33977,HistPolSoc,HistPolSoc,low,597,597,Princeton University_HistPolSoc,25480.91603053435,455.7251908396946,1
343,University of Illinois - Urbana- Champaign (UIUC),Chemistry,1.28,2018-2019,1st,,1,2018,28125,29000,0,0,29000,Chemistry,Chemistry,low,875,875,University of Illinois - Urbana- Champaign UIUC_Chemistry,21972.65625,683.59375,0
344,New York University (NYU),Sociology,1.1,2018-2019,1st,,1,2018,32800,34000,0,0,34000,HistPolSoc,HistPolSoc,low,1200,1200,New York University NYU_HistPolSoc,29818.181818181816,1090.9090909090908,1
345,Stanford University (SU),Genetics,1.38,2018-2019,1st,,1,2018,39700,40500,0,0,40500,Biology,Biology,low,800,800,Stanford University SU_Biology,28768.115942028988,579.7101449275362,0
346,CUNY Graduate School and University Center,Psychology ,0.87,2019-2020,3rd,,3,2019,26000,26000,0,0,26000,HistPolSoc,HistPolSoc,low,0,0,CUNY Graduate School and University Center_HistPolSoc,29885.05747126437,0.0,1
347,University of Michigan - Ann Arbor (UM),Political Science,1.37,2018-2019,1st,,1,2018,31600,31600,0,0,31600,HistPolSoc,HistPolSoc,low,0,0,University of Michigan - Ann Arbor UM_HistPolSoc,23065.69343065693,0.0,1
348,Drexel University (DU),Physics,0.97,2018-2019,5th,"This is the TA stipend.

Drexel physics guarantees 6 years of funding through TA, though you are encouraged to get on an RA as soon as possible. 

This stipend is enough to reasonably live on if you are unmarried and childless, live with roommates, and don't have a car. My family still helps out with big purchases (laptop, apartment deposits, etc).",5,2018,23500,23500,0,0,23500,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Drexel University DU_PhysicsAndAstronomy,24226.80412371134,0.0,0
349,Drexel University (DU),Physics,1.06,2019-2020,5th,"Fees, tuition, and basic insurance covered by department ",5,2019,25500,25500,0,0,25500,PhysicsAndAstronomy,PhysicsAndAstronomy,low,0,0,Drexel University DU_PhysicsAndAstronomy,24056.603773584906,0.0,0
350,Duke University (DU),Chemistry,1.75,2018-2019,4th,NSF GRFP and internal fellowship,4,2018,39000,39000,0,0,39000,Chemistry,Chemistry,low,0,0,Duke University DU_Chemistry,22285.714285714286,0.0,0
351,University of Wisconsin - Madison (UW),Chemistry,1.18,2019-2020,1st,"Offered additional fellowship, $3000",1,2019,27000,0,27000,0,27000,Chemistry,Chemistry,high,0,0,University of Wisconsin - Madison UW_Chemistry,22881.35593220339,0.0,0
352,Indiana University,Political Science,0.93,2018-2019,1st,,1,2018,20000,20000,0,0,20000,HistPolSoc,HistPolSoc,low,0,0,Indiana University_HistPolSoc,21505.37634408602,0.0,1
353,Pennsylvania State University (Penn State),Political Science,1.03,2018-2019,1st,,1,2018,23150,23150,0,0,23150,HistPolSoc,HistPolSoc,low,0,0,Pennsylvania State University Penn State_HistPolSoc,22475.728155339806,0.0,1
354,Rutgers the State University of New Jersey - New Brunswick,Sociology,0.93,2019-2020,1st,,1,2019,24000,0,25000,0,25000,HistPolSoc,HistPolSoc,high,1000,1000,Rutgers the State University of New Jersey - New Brunswick_HistPolSoc,25806.451612903224,1075.268817204301,1
355,University of Wisconsin - Madison (UW),Political Science,1.49,2019-2020,1st,,1,2019,34000,0,23000,11000,34000,HistPolSoc,HistPolSoc,high,0,0,University of Wisconsin - Madison UW_HistPolSoc,22818.791946308724,0.0,1
356,University of California - Berkeley,Political Science,1.3,2019-2020,1st,12 months. Package slightly higher than standard due to university fellowship and small outside funding.  Not adjusted by inflation.,1,2019,36000,36000,0,0,36000,HistPolSoc,HistPolSoc,low,0,0,University of California - Berkeley_HistPolSoc,27692.30769230769,0.0,1
357,Northeastern University (NU),Sociology,0.89,2018-2019,2nd,,2,2018,25500,0,22500,3500,26000,HistPolSoc,HistPolSoc,high,500,500,Northeastern University NU_HistPolSoc,28651.685393258427,561.7977528089888,1
358,University of North Carolina - Chapel Hill (UNC),Sociology,0.81,2018-2019,1st,"For TA-ship.

Stipend is roughly paid out over 10 months, with a half paycheck in August and May. No guaranteed summer funding. Fees will go down to 0 after this year.",1,2018,18000,0,20000,0,20000,HistPolSoc,HistPolSoc,high,2000,2000,University of North Carolina - Chapel Hill UNC_HistPolSoc,22222.22222222222,2469.135802469136,1
359,Northeastern University (NU),Sociology ,0.84,2018-2019,1st,,1,2018,24050,24500,0,0,24500,HistPolSoc,HistPolSoc,low,450,450,Northeastern University NU_HistPolSoc,28630.95238095238,535.7142857142858,1
360,Duke University (DU),Biology,1.31,2019-2020,1st,"$29,000 altogether. First year Biology PhD (ecology focus) RA (no teaching my first year!). Funding guaranteed for 5 years, including health insurance, all fees, and summer funding. Was informed that most students in my lab are successful in securing additional grants.",1,2019,29080,0,23580,5500,29080,Biology,Biology,high,0,0,Duke University DU_Biology,22198.47328244275,0.0,0
361,Pennsylvania State University (Penn State),Psychology,0.96,2018-2019,1st,,1,2018,21500,0,19500,2000,21500,HistPolSoc,HistPolSoc,high,0,0,Pennsylvania State University Penn State_HistPolSoc,22395.833333333336,0.0,1
362,University of California - San Diego (UCSD),Mathematics,1.44,2018-2019,1st,,1,2018,38020,0,35153,2867,38020,MathematicsAndComputer Science,MathematicsAndComputer Science,high,0,0,University of California - San Diego UCSD_MathematicsAndComputer Science,26402.777777777777,0.0,0
363,Pennsylvania State University (Penn State),Sociology,0.98,2018-2019,6th and up,Summer funding  is always available.,6,2018,22000,22000,0,0,22000,HistPolSoc,HistPolSoc,low,0,0,Pennsylvania State University Penn State_HistPolSoc,22448.979591836734,0.0,1
364,University of Minnesota - Twin Cities (UM),Psychology,0.79,2019-2020,1st,,1,2019,18200,0,20000,0,20000,HistPolSoc,HistPolSoc,high,1800,1800,University of Minnesota - Twin Cities UM_HistPolSoc,23037.974683544304,2278.481012658228,1
365,University of Minnesota - Twin Cities (UM),Psychology,0.31,2019-2020,1st,,1,2019,7200,0,9000,0,9000,HistPolSoc,HistPolSoc,high,1800,1800,University of Minnesota - Twin Cities UM_HistPolSoc,23225.8064516129,5806.451612903225,1
366,University of Michigan - Ann Arbor (UM),political science,1.04,2019-2020,1st,,1,2019,24083,0,24083,0,24083,HistPolSoc,HistPolSoc,high,0,0,University of Michigan - Ann Arbor UM_HistPolSoc,23156.73076923077,0.0,1
367,University of California - Irvine (UCI),Sociology,0.72,2018-2019,1st,was offered around 52k extra in top offs in the form of summer support/ general topoff. Stipend is a 6 year teaching assistant kind of thing.,1,2018,21115,0,21273,0,21273,HistPolSoc,HistPolSoc,high,158,158,University of California - Irvine UCI_HistPolSoc,29326.38888888889,219.44444444444446,1
368,Yale University (YU),Sociology,1.29,2018-2019,1st,,1,2018,31800,31800,0,0,31800,HistPolSoc,HistPolSoc,low,0,0,Yale University YU_HistPolSoc,24651.162790697676,0.0,1
369,University of California - Berkeley,Mechanical Engineering,1.22,2018-2019,1st,NSF fellowship,1,2018,34000,34000,0,0,34000,Engineering,Engineering,low,0,0,University of California - Berkeley_Engineering,27868.852459016394,0.0,0
370,University of California - Davis (UCD),Sociology,1.02,2018-2019,1st,,1,2018,24473,24473,0,0,24473,HistPolSoc,HistPolSoc,low,0,0,University of California - Davis UCD_HistPolSoc,23993.13725490196,0.0,1
371,University of Illinois - Urbana- Champaign (UIUC),Chemistry,1.3,2018-2019,2nd,,2,2018,28700,30000,0,0,30000,Chemistry,Chemistry,low,1300,1300,University of Illinois - Urbana- Champaign UIUC_Chemistry,22076.923076923074,1000.0,0
372,University of Texas - Austin (UT),Anthropology,0.65,2018-2019,1st,,1,2018,14800,0,15000,0,15000,Biology,Biology,high,200,200,University of Texas - Austin UT_Biology,22769.23076923077,307.6923076923077,0
373,University of California - San Diego (UCSD),Bioinformatics,1.13,2018-2019,1st,,1,2018,30000,30000,0,0,30000,MathematicsAndComputer Science,MathematicsAndComputer Science,low,0,0,University of California - San Diego UCSD_MathematicsAndComputer Science,26548.672566371682,0.0,0
374,Georgia Institute of Technology (Georgia Tech),Electrical Engineering,0.09,2019-2020,1st,,1,2019,2100,2100,0,0,2100,Engineering,Engineering,low,0,0,Georgia Institute of Technology Georgia Tech_Engineering,23333.333333333336,0.0,0
375,University of Pennsylvania,Biology,1.24,2018-2019,5th,,5,2018,30000,30000,0,0,30000,Biology,Biology,low,0,0,University of Pennsylvania_Biology,24193.548387096773,0.0,0
376,Stanford University (SU),Biology,1.33,2018-2019,3rd,,3,2018,38132,39000,0,0,39000,Biology,Biology,low,868,868,Stanford University SU_Biology,28670.67669172932,652.6315789473684,0
377,University of Pennsylvania,Biology,1.27,2019-2020,1st,,1,2019,30500,32000,0,0,32000,Biology,Biology,low,1500,1500,University of Pennsylvania_Biology,24015.748031496063,1181.1023622047244,0
378,CUNY Graduate School and University Center,Psychology,0.52,2018-2019,1st,,1,2018,15523,15523,0,0,15523,HistPolSoc,HistPolSoc,low,0,0,CUNY Graduate School and University Center_HistPolSoc,29851.923076923074,0.0,1
